question,gold_answer,KG answer,taxonomy_label,method,source
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyū,Same,Simple heuristics,NQ_table
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyū,Same,Simple heuristics,NQ_table
who does april end up with on parks and rec,Andy Dwyer,Andy Dwyer,Same,Simple heuristics,NQ_table
Who is the original broadcaster of the Under the Dome television series,CBS,CBS,Same,Simple heuristics,CompMix_infobox
Initial movie in The Hobbit film series?,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,Same,Simple heuristics,CompMix_table
Who is the author of the Eragon book?,Christopher Paolini,Christopher Paolini,Same,Simple heuristics,CompMix_table
In what year did Cristiano Ronaldo join Manchester United the first time,2003,2003,Same,Simple heuristics,CompMix_infobox
Who is the author of the book The God of Small Things,Arundhati Roy,Arundhati Roy,Same,Simple heuristics,CompMix_infobox
who penned the famous indian epic the ramayana,Valmiki,Valmiki,Same,Simple heuristics,NQ_table
What is the name of the author of the book Treasure Island,Robert Louis Stevenson,Robert Louis Stevenson,Same,Simple heuristics,CompMix_infobox
What was the next album released by Jewel after Pieces of You,Spirit,Spirit,Same,Simple heuristics,CompMix_infobox
What nation did Fabio Cannavaro represent in soccer?,Italy,Italy,Same,Simple heuristics,CompMix_table
Who was the cinematographer on A Wrinkle in Time?,Tobias A. Schliessler,Tobias A. Schliessler,Same,Simple heuristics,CompMix_table
Who is the head coach of Orlando City SC?,Óscar Pareja,Óscar Pareja,Same,Simple heuristics,CompMix_table
who wrote the song if i were a boy,BC Jean | Toby Gad,"Toby Gad
BC Jean
Toby Gad
BC Jean",Same,Simple heuristics,NQ_table
is jaffa cakes a biscuit or a cake,Cake,cake,Same,Simple heuristics,NQ_table
What year did the El Salvador national football team make their first FIFA World Cup appearance,1970,1970,Same,Simple heuristics,CompMix_table
who appoints the chief election commissioner of india,President of India,President of India,Same,Simple heuristics,NQ_table
who sings i wanna rock'n'roll all night,Kiss,Kiss,Same,Simple heuristics,NQ_table
who won the fifth season of america's got talent,Michael Grimm,Michael Grimm,Same,Simple heuristics,NQ_table
who wrote how do you do it by gerry and the pacemakers,Mitch Murray,Mitch Murray,Same,Simple heuristics,NQ_table
Who is the character that Robin ends up marrying in the last season of How I Met Your Mother,Barney Stinson,Barney Stinson,Same,Simple heuristics,CompMix_table
Who played the character of Hannah Kahnwald as Adult in Dark?,Maja Schöne,Maja Schöne,Same,Simple heuristics,CompMix_table
Who was the top scorer for the 2020-2021 Premier league season,Harry Kane,Harry Kane,Same,Simple heuristics,CompMix_table
Who directs the episode Glorious Purpose in the tv series Loki,Kate Herron,Kate Herron,Same,Simple heuristics,CompMix_table
The new Hawaii Five-0 wrapped up after how many season's on CBS,10,10,Same,Simple heuristics,CompMix_table
Name of the winner of the thirteenth season of Master Chef Australia,Justin Narayan,Justin Narayan,Same,Simple heuristics,CompMix_table
"The event , a part of ITTF World Tour in 2018 , with the largest prize took place in a city that became an international port in which year",1883,1883,Same,Simple heuristics,OTT_QA_dev
Who writes the book the Jane Eyre?,Charlotte Brontë,Charlotte Brontë,Same,Simple heuristics,CompMix_table
What is the birth place of Justin Bieber?,London,London,Same,Simple heuristics,CompMix_table
"Which actor portrayed Uncle Phil on the ""Fresh Prince of Bel-Air?""",James Avery,James Avery,Same,Simple heuristics,CompMix_table
Who wrote the To the Ends of the Earth Book series?,William Golding,William Golding,Same,Simple heuristics,CompMix_table
Which country does Johan Cruyff play football for?,Netherlands,Netherlands,Same,Simple heuristics,CompMix_table
Who is the director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,Same,Simple heuristics,CompMix_table
who wrote hallelujah i just love her so,Ray Charles,Ray Charles,Same,Simple heuristics,NQ_table
who sings the song rock you like a hurricane,Scorpions,Scorpions,Same,Simple heuristics,NQ_table
who wrote the song city of new orleans,Steve Goodman,Steve Goodman,Same,Simple heuristics,NQ_table
who wins america's next top model cycle 20,Jourdan Miller,Jourdan Miller,Same,Simple heuristics,NQ_table
who is the author of the book the Tale of peter Rabbit,Beatrix Potter,Beatrix Potter,Same,Simple heuristics,CompMix_infobox
Stargate SG-1 the science fiction tv series ran for how many seasons,10,10,Same,Simple heuristics,CompMix_infobox
Which country does the soccer player Alessandro Del Piero represent?,Italy,Italy,Same,Simple heuristics,CompMix_table
Who cast member main character Peaky Blinders Tv Series?,Cillian Murphy,Cillian Murphy,Same,Simple heuristics,CompMix_table
