question,gold_answer,KG answer,file_path
who are the permanent member of un security council,China | France | Russia | United Kingdom | United States,France|United Kingdom|People's Republic of China|Russia|United States,SimpleQA/NQ_table_test_simple/00045.json
when does the day of the dead end,November 2,November 1,SimpleQA/NQ_table_test_simple/00229.json
where did the first persian gulf war take place,Iraq | Kuwait | Saudi Arabia | Israel | Persian Gulf,Arabian Peninsula|Iraq|Israel|Kuwait|Saudi Arabia,SimpleQA/NQ_table_test_simple/00353.json
Which country of orgin for the tv series wizards of waverly place,United States of America,United States,ComplexQA/CompMix_infobox_complex/00267.json
In which country was the novel The Stand by Stephen King published,United States of America,United States,ComplexQA/CompMix_table_complex/00546.json
What is the country of orign of the Godzilla vs. Kong movie,United States of America,United States,ComplexQA/CompMix_infobox_complex/00265.json
What is the country of origin of the Black Flag music band,United States of America,United States,ComplexQA/CompMix_infobox_complex/00227.json
What is the country of the orign of the Big star band,United States of America,United States,ComplexQA/CompMix_infobox_complex/00272.json
What is the country of origin of theThe Velvet Underground  music Band,United States of America,United States,ComplexQA/CompMix_infobox_complex/00275.json
What is Paolo Maldini's surname?,Maldini,Paolo Maldini,SimpleQA/CompMix_table_simple_qa/00264.json
Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG,SimpleQA/CompMix_table_simple_qa/00141.json
Which football club Kaka was playing for when he won the Ballon d'Or,A.C. Milan,AC Milan,ComplexQA/CompMix_infobox_complex/00115.json
who was elected president of the united states in 1928,Herbert Hoover,presidency of Herbert Hoover,SimpleQA/NQ_table_test_simple/00687.json
what is the genus of a bald eagle,Haliaeetus,Haliaeetus leucocephalus,SimpleQA/NQ_table_test_simple/00302.json
the actual name of the confederate force at gettysburg was,Confederate States Army,Military forces of the Confederate States,SimpleQA/NQ_table_test_simple/00300.json
Who Created by Elite Tv Series?,"Carlos Montero, Darío Madrona",Carlos Montero|Darío Madrona,SimpleQA/CompMix_table_simple_qa/00089.json
Who Is the Creator of the Elite TV Series?,"Carlos Montero, Darío Madrona",Carlos Montero|Darío Madrona,SimpleQA/CompMix_table_simple_qa/00134.json
what was the name of two vocal artist of Rain on Me,"Lady Gaga,Ariana Grande",Ariana Grande|Lady Gaga,ComplexQA/CompMix_infobox_complex/00228.json
chief ministers of tamil nadu mentioned on wikipedia,C. N. Annadurai | V.R. Nedunchezhiyan | M. Karunanidhi | M. G. Ramachandran | Janaki Ramachandran | J. Jayalalithaa | O. Panneerselvam | K. Palaniswami,M. G. Ramachandran|C. N. Annadurai|O. Panneerselvam|V. N. Janaki|C. Rajagopalachari|Jayaram Jayalalithaa|Muthuvel Karunanidhi|K.Kamarajar|K. Palaniswami|M. K. Stalin,SimpleQA/NQ_table_test_simple/00814.json
what is the genre of  The Last Thing he told me,"Mystery, Thriller",thriller|mystery fiction,ComplexQA/CompMix_infobox_complex/00235.json
where was the super bowl 52 played at,"U.S. Bank Stadium, Minneapolis, Minnesota",U.S. Bank Stadium,SimpleQA/NQ_table_test_simple/00465.json
Which is the national team of Salif Diao?,Senegal national football team,Senegal,SimpleQA/CompMix_table_simple_qa/00007.json
Where was Hawaii Five-O filmed?,"Oahu, Hawaii",Hawaii,SimpleQA/CompMix_table_simple_qa/00306.json
Which are the teams participated in the inaugural UEFA Championship?,Soviet Union; Yugoslavia; Czechoslovakia; France,Yugoslavia men's national football team|Yugoslavia|Soviet Union national association football team|Soviet Union,SimpleQA/CompMix_table_simple_qa/00053.json
where can the mona lisa be found today,"Musée du Louvre, Paris","Salle des États, Louvre",SimpleQA/NQ_table_test_simple/00190.json
who won the ncaa women's championship last year 2017,South Carolina Gamecocks,2016–17 South Carolina Gamecocks women's basketball team,SimpleQA/NQ_table_test_simple/00488.json
"How many times did Lewis Hamilton achieve pole position at the Canadian Grand Prix in the years 2016 or later, based on the available qualifying results",1,2,ComplexQA/Sportsreason_TANQ_complex/01499.json
"When was the final James Bond Movie, No Time to Die released in theaters",2021,2021-09-28T00:00:00Z|2021-09-30T00:00:00Z|2021-10-08T00:00:00Z|2021-11-11T00:00:00Z,ComplexQA/CompMix_infobox_complex/00078.json
Which national team was the runner up in FIFA World Cup 2018,Croatia national football team,Croatia men's national football team|France men's national association football team,ComplexQA/CompMix_table_complex/00555.json
What is the country of origin of the The Little Prince?,United States of America,France|United States,SimpleQA/CompMix_table_simple_qa/00202.json
Who did Italy play against in the 1982 Men's World Cup Final,Germany national football team,Germany men's national association football team|Italy men's national association football team,ComplexQA/CompMix_infobox_complex/00183.json
