question,gold_answer,result_cleaned,result,sparql
What was Bob Bradley's previous job before he took the job as the head coach of the United States men's national soccer team,Head coach of Chivas USA,,,"SELECT ?positionLabel WHERE {
  wd:Q442325 p:P39 ?stmt .
  ?stmt ps:P39 ?position ; pq:P580 ?startDate .
  FILTER(?position != wd:Q15533006)
  ?position rdfs:label ?positionLabel .
  FILTER(lang(?positionLabel) = ""en"")
}
ORDER BY DESC(?startDate)
LIMIT 1"
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels,Jim Parsons,Jim Parsons|Jim Parsons (lang:en),"| actor                    | actorLabel            |
| ------------------------ | --------------------- |
| Jim Parsons (wd:Q190972) | Jim Parsons (lang:en) |","SELECT ?actor ?actorLabel WHERE {
  wd:Q8539 wdt:P161 ?actor .
  wd:Q959876 wdt:P161 ?actor .
  OPTIONAL {
    ?actor rdfs:label ?actorLabel
    FILTER(lang(?actorLabel) = ""en"")
  }
}"
Who is the director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,"| director                    |
| --------------------------- |
| Gore Verbinski (wd:Q295463) |","SELECT ?director WHERE {
  wd:Q46717 wdt:P57 ?director .
}"
What is the name of the football player who won the player of the season title in 2021 for Barnsley F.C,Michał Helik,,,"SELECT ?player ?playerLabel WHERE {
  ?player wdt:P31 wd:Q5 ; wdt:P54 wd:Q19442 ; wdt:P166 ?award .
  ?award rdfs:label ?awardLabel .
  FILTER(LANG(?awardLabel) = ""en"")
  .
  FILTER REGEX(LCASE(?awardLabel) , ""barnsley.*player of the (season|year).*2020-21"" , ""i"")
  .
  OPTIONAL {
    ?player rdfs:label ?playerLabel
    FILTER(LANG(?playerLabel) = ""en"")
  }
  .
}
LIMIT 1"
In which year did the American sitcom series Will & Grace return for another three seasons after ending in 2006,2017,,,"SELECT (YEAR(?start) AS ?year) WHERE { wd:Q212135 wdt:P580 ?start . FILTER(?start > ""2006-12-31T23:59:59Z""^^xsd:dateTime) } ORDER BY ?start LIMIT 1}"
What year did the American sitcom series Will & Grace return for three more seasons after the original run ended,2017,2017,"| year           |
| -------------- |
| 2017 (xsd:int) |","SELECT(YEAR(?airdate) AS ?year) WHERE {
  wd:Q39069777 wdt:P527 ?episode .
  ?episode wdt:P577 ?airdate .
}
ORDER BY ?airdate
LIMIT 1"
Which player was awarded the most number of Man of the match titles in the FIFA world cup of 2006,Andrea Pirlo,,,"SELECT ?player ?playerLabel(COUNT(?match) AS ?count) WHERE {
  ?match wdt:P361 wd:Q37285 .
  ?match p:P710 ?statement .
  ?statement ps:P710 ?player .
  ?statement pq:P3831 wd:Q207694 .
  OPTIONAL {
    ?player rdfs:label ?playerLabel
    FILTER(LANG(?playerLabel) = 'en')
  }
}
GROUP BY ?player ?playerLabel
ORDER BY DESC(?count)
LIMIT 1"
How many movies were in the Die Hard series before A Good Day to Die Hard came out in 2013,4,15,"| count        |
| ------------ |
| 15 (xsd:int) |","SELECT(COUNT(?movie) AS ?count) WHERE {
  ?movie wdt:P179 wd:Q2716420 .
  ?movie wdt:P31 / wdt:P279 * wd:Q11424 .
  ?movie rdfs:label ?title .
  FILTER(LANG(?title) = 'en')
  .
  FILTER(CONTAINS(LCASE(?title) , ""die hard""))
  .
  ?movie wdt:P577 ?releaseDate .
  FILTER(xsd:dateTime(?releaseDate) < ""2013-01-01T00:00:00Z"" ^^ xsd:dateTime)
}"
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold,6,0,"| count       |
| ----------- |
| 0 (xsd:int) |","SELECT(COUNT(?work) AS ?count) WHERE {
  ?work wdt:P50 wd:Q209641 ; wdt:P123 wd:Q2335880 ; wdt:P577 ?date ; wdt:P31 wd:Q82622 .
  FILTER(year(?date) > 1963)
}"
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011,1,0,"| appearances |
| ----------- |
| 0 (xsd:int) |","SELECT(COUNT(?match) AS ?appearances) WHERE {
  wd:Q2458826 wdt:P1344 ?match .
  ?match wdt:P585 ?date ; wdt:P710 wd:Q207894 .
  FILTER(YEAR(?date) = 2011)
}"
"When was the original version of the song I am not a woman, I’m a god released in USA","August 31, 2021",,,"SELECT ?date WHERE {
  wd:Q108822278 wdt:P577 ?date
}"
According to the 11 Nov 2021 result who called the most capped player in Brazil Nation Football Team,Cafu,,,"SELECT ?player ?playerLabel ?caps WHERE {
  ?player p:P54 ?statement .
  ?statement ps:P54 wd:Q83459 .
  ?statement pq:P1350 ?caps .
  SERVICE wikibase:label {
    bd:serviceParam wikibase:language ""en"" .
  }
}
ORDER BY DESC(?caps)
LIMIT 1"
"What is the name of the ghostwriter of the first book in the Hardy Boys series, The Tower Treasure",Leslie McFarlane,,,"SELECT ?realAuthorLabel WHERE {
  wd:Q23541148 wdt:P50 wd:Q1553280 .
  ?realAuthor ^ wdt:P742 wd:Q1553280 .
  ?realAuthor rdfs:label ?realAuthorLabel .
  FILTER(LANG(?realAuthorLabel) = ""en"")
}
LIMIT 1"
What is the total number of appearances made by Marco Reus as of 2021 for the club Borussia Dortmund,332,,,"SELECT ?appearances WHERE {
  wd:Q152377 p:P54 ?stmt .
  ?stmt ps:P54 wd:Q124 .
  ?stmt pq:P1113 ?appearances .
}"
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series",4,4,"| count       |
| ----------- |
| 4 (xsd:int) |","SELECT(COUNT(DISTINCT ?movie) AS ?count) WHERE {
  ?movie wdt:P179 wd:Q2716420 ; wdt:P31 / wdt:P279 * wd:Q11424 ; wdt:P577 ?date .
  FILTER(YEAR(?date) < 2013)
}"
What is the name of the book that comes after the book Killing Floor in the Jack Reacher series,Die Trying,Die Trying|Die Trying (lang:en),"| nextBook                 | title                |
| ------------------------ | -------------------- |
| Die Trying (wd:Q5274452) | Die Trying (lang:en) |","SELECT ?nextBook ?title WHERE {
  wd:Q911224 wdt:P577 ?killingFloorDate .
  ?nextBook wdt:P31 wd:Q7725634 ; wdt:P50 wd:Q333719 ; wdt:P921 wd:Q589977 ; wdt:P577 ?nextDate ; wdt:P1476 ?title .
  FILTER(?nextDate > ?killingFloorDate)
}
ORDER BY ?nextDate
LIMIT 1"
"What year was it on Earth in the last novel of The Chronicles of Narnia series, The Last Battle",1949,1956,"| year           |
| -------------- |
| 1956 (xsd:int) |","SELECT ?year WHERE {
  wd:Q289130 wdt:P577 ?date .
  BIND(YEAR(?date) AS ?year)
}"
How many goals did Pat Healey make in the 2008 season when he was playing for Crystal Palace Baltimore,8,,,"SELECT ?goals WHERE {
  wd:Q7143535 p:P54 ?membership .
  ?membership ps:P54 wd:Q1142391 ; pq:P585 ?season ; pq:P1351 ?goals .
  FILTER(YEAR(?season) = 2008)
}"
Who is the character that Robin ends up marrying in the last season of How I Met Your Mother,Barney Stinson,Barney Stinson,"| spouse                      |
| --------------------------- |
| Barney Stinson (wd:Q838512) |","SELECT ?spouse WHERE {
  wd:Q2347474 wdt:P26 ?spouse
}"
"What is the name of the first episode of the first season of the series, Buffy the Vampire Slayer",Welcome to the Hellmouth,,,"SELECT ?label WHERE {
  ?episode wdt:P179 wd:Q2715602 ; wdt:P1545 ""1"" ; rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
}"
Which 2009 first person shooter game did Lance Henriksen who was Frank Black in Millennium did voice work for,Call of Duty: Modern Warfare 2,,,"SELECT ?game ?gameLabel WHERE {
  ?game wdt:P31 wd:Q7868 ; wdt:P577 ?date ; wdt:P161 wd:Q312077 .
  ?game rdfs:label ?gameLabel .
  FILTER(YEAR(?date) = 2009)
  FILTER(LANG(?gameLabel) = 'en')
}"
What were the demographics of black people in Memphis Tennessee when If Beale Street Could Talk was written,38.9%,,,"SELECT ?population ?year WHERE {
  wd:Q16563 p:P1082 ?statement .
  ?statement ps:P1082 ?population ; pq:P585 ?time ; pq:P172 wd:Q49058 .
  BIND(YEAR(?time) AS ?year)
  FILTER(?year <= 1974)
}
LIMIT 1"
What is the name of the 2012 movie that fetched Meryl Streep an Oscar for the best actress,The Iron Lady,,,"SELECT ?movie ?movieLabel WHERE {
  wd:Q873 p:P166 ?award .
  ?award ps:P166 wd:Q2320559 .
  ?award pq:P1686 ?movie .
  ?movie wdt:P577 ?releaseDate .
  FILTER(YEAR(?releaseDate) = 2012)
  ?movie rdfs:label ?movieLabel .
  FILTER(LANG(?movieLabel) = 'en')
}"
When was released the song I'm Your Angel in United States in the format of Contemporary hit radio,13 October 1998,1998-11-09T00:00:00Z,"| date                                |
| ----------------------------------- |
| 1998-11-09T00:00:00Z (xsd:dateTime) |","SELECT ?date WHERE {
  wd:Q4922282 wdt:P577 ?date .
}"
What is the name of the actress who won the Academy Award in 2014 instead of Sandra Bullock,Cate Blanchett,Cate Blanchett|Cate Blanchett (lang:en),"| actress                    | actressLabel             |
| -------------------------- | ------------------------ |
| Cate Blanchett (wd:Q80966) | Cate Blanchett (lang:en) |","SELECT ?actress ?actressLabel WHERE {
  ?actress wdt:P31 wd:Q5 ; p:P166 [ ps:P166 wd:Q103618 ; pq:P585 ?time ] .
  FILTER(YEAR(?time) = 2014)
  .
  ?actress rdfs:label ?actressLabel .
  FILTER(LANG(?actressLabel) = ""en"")
}"
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,"| director                    |
| --------------------------- |
| Gore Verbinski (wd:Q295463) |","SELECT ?director WHERE {
  wd:Q46717 wdt:P57 ?director
}"
The American goalkeeper Sean Johnson played how many game for the US men's national soccer team in 2011,1,0,"| gamesCount  |
| ----------- |
| 0 (xsd:int) |","SELECT(COUNT(*) AS ?gamesCount) WHERE {
  wd:Q19711330 wdt:P729 ?match .
  ?match wdt:P31 wd:Q2317488 .
  ?match wdt:P710 wd:Q118251 .
  ?match wdt:P585 ?date .
  FILTER(YEAR(?date) = 2011)
}"
Who is the screenwriter  of the second part Dead Man's Chest in the flim Pirates of the Caribbean,Terry Rossio,"Terry Rossio|Terry Rossio (lang:en)
Ted Elliott|Ted Elliott (lang:en)","| screenwriter              | name                   |
| ------------------------- | ---------------------- |
| Terry Rossio (wd:Q942914) | Terry Rossio (lang:en) |
| Ted Elliott (wd:Q943506)  | Ted Elliott (lang:en)  |","SELECT ?screenwriter ?name WHERE {
  wd:Q161087 wdt:P58 ?screenwriter .
  ?screenwriter rdfs:label ?name .
  FILTER(LANG(?name) = ""en"")
  .
}"
When was the song Easy on Me released in United States in the format of Adult contemporary radio,18 October 2021,,,
