question,gold_answer,KG answer,taxonomy_label,confidence,source
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyū,Same,1.0000001192092896,SimpleQA/NQ_table_test_simple/00503.json
Add together the number of races in the earliest and latest championship seasons won by Michael Schumacher that are described in the available information.,33,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00194.json
5 cities with the highest population in europe,Istanbul | Moscow | London | Saint Petersburg | Berlin,"London|London (lang:en)|8799728.0
Madrid city|Madrid city (lang:en)|3332035.0
Almaty|Almaty (lang:en)|2228675.0
Warsaw|Warsaw (lang:en)|1862402.0
Barcelona|Barcelona (lang:en)|1731649.0",Different answer,major,SimpleQA/NQ_table_test_simple/00361.json
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series",4,4,Same,1.0,ComplexQA/CompMix_table_complex/00014.json
Actor Behind Joseph Cooper in Interstellar?,Matthew McConaughey,Matthew McConaughey,Same,1.0,SimpleQA/CompMix_table_simple_qa/00103.json
After their 2018 FIFA World Cup win how many wins did France national football team have,2,0,Different answer,major,ComplexQA/CompMix_infobox_complex/00033.json
Argentina national football team captain?,2018 FIFA World Cup,Lionel Messi,Different answer,major,SimpleQA/CompMix_table_simple_qa/00058.json
Director name of the first season “somebody’s dead” in the tv series Big Little Lies,Jean-Marc Vallée,Jean-Marc Vallée,Same,1.0,ComplexQA/CompMix_table_complex/00089.json
Batman v Superman: Dawn of Justice Movie was directed by which film director?,Zack Snyder,Zack Snyder,Same,1.0,SimpleQA/CompMix_table_simple_qa/00159.json
"Among the Collingwood, Richmond, and Sydney Swans VFL/AFL teams, sort them by their total number of Grand Final appearances from highest to lowest. What is the number of appearances for the team that ranks second",13,"Collingwood Football Club|Collingwood Football Club (lang:en)|20
Richmond Football Club|Richmond Football Club (lang:en)|18
Sydney Swans|Sydney Swans (lang:en)|8",Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00042.json
From which prison did multi-recidivist escaper escaped ?,"La Santé | Toodyay lockup | Fremantle Prison | Abashiri Prison | [[St Giless Roundhouse]] | Newgate Prison | United States Penitentiary, Pollock | Sing Sing | Eastern State Penitentiary | Clinton Correctional Facility | ""Altiplano"" Federal Social Readaptation Center No. 1",Cabildo jail (lang:en),Different answer,major,SimpleQA/Qampari_wikitables_simple/00056.json
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,Same,1.0,ComplexQA/CompMix_table_complex/00025.json
Director of the movie lord of the rings?,Peter Jackson,Peter Jackson,Same,1.0,SimpleQA/CompMix_table_simple_qa/00018.json
As of 2020 how many FIFA Women's World Cup wins does the United States women's national soccer team have,4,0,Different answer,major,ComplexQA/CompMix_infobox_complex/00008.json
Neymar is from?,Portuguese,Brazil,Different answer,major,SimpleQA/CompMix_table_simple_qa/00156.json
In 1995 which Midway Games' fighting game franchise was turned into a live action movie,Mortal Kombat,Mortal Kombat,Same,1.0,ComplexQA/CompMix_infobox_complex/00051.json
Francesco Totti played for which country?,Italy,Italy,Same,1.0,SimpleQA/CompMix_table_simple_qa/00281.json
As of 2020 how many gold medals has the United States women's national soccer team won,4,0,Different answer,major,ComplexQA/CompMix_infobox_complex/00039.json
No. of goals did Kevin De Bruyne scored for Belgium national football team?,23,36.0,Different answer,major,SimpleQA/CompMix_table_simple_qa/00124.json
"In the 2003 AFL round 8 premiership season match at The Gabba , the home team was formed from a merger of the Fitzroy Lions and what other team",Brisbane Bears,Brisbane Bears,Same,1.0,ComplexQA/OTT_QA_dev_complex/00034.json
Hugh Bonneville appeared as the The Earl of Grantham in what TV show?,Downton Abbey,Downton Abbey,Same,1.0,SimpleQA/CompMix_table_simple_qa/00320.json
"At the Sanremo Music Festival Big Artists section , how many MTV Italian Music Award nominations were received by the person who sang the song produced by Palmasi",three,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00061.json
Selena Gomez held which position?,UNICEF Goodwill Ambassador,"filmmaker|filmmaker (lang:en)
singer|singer (lang:en)
record producer|record producer (lang:en)
voice actor|voice actor (lang:en)
actor|actor (lang:en)
fashion designer|fashion designer (lang:en)
businessperson|businessperson (lang:en)
model|model (lang:en)
singer-songwriter|singer-songwriter (lang:en)
child actor|child actor (lang:en)",Different answer,major,SimpleQA/CompMix_table_simple_qa/00166.json
In what city was the novel A Tale of Two Cities set,London; Paris,London|Paris,Same,1.0,ComplexQA/CompMix_infobox_complex/00270.json
In which city is Millennium Stadium located?,Cardiff,Cardiff,Same,1.0,SimpleQA/CompMix_table_simple_qa/00275.json
At what age did the singer die for the Hong Kong TVB Jade Channel 1999 series that had an actor that appeared in the movie Trivisa,64,,Higher accuracy in Table than in KG,major,ComplexQA/OTT_QA_dev_complex/00200.json
Selena Gomez's music genre?,"pop rock, electropop, dance-pop","electropop|electropop (lang:en)
dance-pop|dance-pop (lang:en)
pop music|pop music (lang:en)
pop rock|pop rock (lang:en)
alternative R&B|alternative R&B (lang:en)
contemporary R&B|contemporary R&B (lang:en)",Different answer,major,SimpleQA/CompMix_table_simple_qa/00015.json
"In what language was the book, In Search of Lost Time first written",French,French,Same,1.0,ComplexQA/CompMix_infobox_complex/00131.json
In which division did Daniel Farke manage Borussia Dortmund II?,Regionalliga West,Regionalliga West,Same,1.0,SimpleQA/CompMix_table_simple_qa/00254.json
Bethlehem Steel's won how many titles in the Lamar Hunt U.S. Open Cup,5,4,Different answer,major,ComplexQA/CompMix_table_complex/00175.json
"What actress played Fiona ""Fi"" Phillips in So Weird?",Cara DeLizia,Alexz Johnson,Different answer,major,SimpleQA/CompMix_table_simple_qa/00279.json
In what year did Cristiano Ronaldo join Manchester United the first time,2003,2003,Same,1.0,ComplexQA/CompMix_infobox_complex/00282.json
Initial book of the novel series Little House on the Prairie?,Little House in the Big Woods,Little House in the Big Woods,Same,1.0,SimpleQA/CompMix_table_simple_qa/00162.json
"For each country in East Asia, return its name and its national dish.","[['China', 'Peking duck'], ['Hong Kong', 'Pineapple bun'], ['Hong Kong', 'Dim sum'], ['Macau', 'Minchee'], ['Japan', 'Sushi'], ['Japan', 'Japanese curry'], ['Japan', 'Ramen'], ['Japan', 'Tempura'], ['Japan', 'Wagashi'], ['Japan', 'Sashimi'], ['Japan', 'Miso soup'], ['Mongolia', 'Buuz'], ['North Korea', 'kimchi'], ['South Korea', 'Kimchi'], ['Taiwan', 'Beef noodle soup']]","People's Republic of China|People's Republic of China (lang:en)||
Japan|Japan (lang:en)||
North Korea|North Korea (lang:en)||
Mongolia|Mongolia (lang:en)||
Taiwan|Taiwan (lang:en)||
South Korea|South Korea (lang:en)||",Higher accuracy in Table than in KG,major,ComplexQA/Monaco_non_time_complex/00079.json
What are some existing calendars ?,Vikram samwat | Roman calendar | Attic calendar | Seleucid calendar | Julian calendar | Coptic calendar | Berber calendar | Gaulish calendar | Zoroastrian calendar | Japanese calendar | Islamic calendar | Pyu calendar | Byzantine calendar | Armenian calendar | Florentine calendar | Pisan calendar | Tamil calendar | Nepali calendar | Thai lunar calendar | Jalali calendar | Hebrew calendar | Tibetan calendar | Runic calendar | Gregorian calendar | Javanese calendar | Swedish calendar | Rumi calendar | Thai solar calendar | Revised Julian calendar | Solar Hijri calendar | Soviet calendar | World Calendar | Indian national calendar | Holocene calendar | Juche era calendar | Nanakshahi calendar | Symmetry454 | Igbo calendar,"Pengalantaka|Pengalantaka (lang:en)
Calendário de Mesa|Calendário de Mesa (lang:en)
Tenpō calendar|Tenpō calendar (lang:en)
Egyptian civil calendar|Egyptian civil calendar (lang:en)
Chula Sakarat|Chula Sakarat (lang:en)
English legal calendar|English legal calendar (lang:en)
Sifen calendar|Sifen calendar (lang:en)
Mandaean calendar|Mandaean calendar (lang:en)
Shòushí calendar|Shòushí calendar (lang:en)
Trierer Aderlasskalender|Trierer Aderlasskalender (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00073.json
In what year did Cristiano Ronaldo leave Manchester United the first time,2009,2009,Same,1.0,ComplexQA/CompMix_infobox_complex/00290.json
Initial movie in The Hobbit film series?,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,Same,1.0,SimpleQA/CompMix_table_simple_qa/00030.json
"For the absolute best scoring Ice dance female skater with a score of 215.20 , what champion is she with her former partner Ruslan Zhiganshin",2012 World Junior champion,"Elena Ilinykh
Victoria Sinitsina",Different answer,major,ComplexQA/OTT_QA_dev_complex/00320.json
What are the bridges with a deck height of at least 200 meters ?,Chenab Bridge | Mtentu Bridge | Duge Bridge | Sidu River Bridge | Hegigio Gorge Pipeline Bridge | Beipan River Guanxing Highway Bridge | Liuguanghe Bridge | Royal Gorge Bridge | [[Sidi MCid Bridge]],"Vallée-Jonction Railway Bridge|Vallée-Jonction Railway Bridge (lang:en)|3000.0
Huajiang Canyon Bridge|Huajiang Canyon Bridge (lang:en)|625.0
Thune canal bridge|Thune canal bridge (lang:en)|575.0
Duge Bridge|Duge Bridge (lang:en)|565.0
Sidu River Bridge|Sidu River Bridge (lang:en)|496.0
Puli Bridge|Puli Bridge (lang:en)|485.0
wd:Q119812519||475.0
Navajo Bridge|Navajo Bridge (lang:en)|470.0
Navajo Bridge|Navajo Bridge (lang:en)|467.0
Jin'an Bridge|Jin'an Bridge (lang:en)|461.0",Different answer,major,SimpleQA/Qampari_wikitables_simple/00002.json
In what year did the El Salvador national football team win the CCCF Championship,1943,1943,Same,1.0,ComplexQA/CompMix_table_complex/00111.json
Jane Eyre novel was written by?,Charlotte Bronte,Charlotte Brontë,Same,1.0,SimpleQA/CompMix_table_simple_qa/00174.json
"For the absolute best scoring Ice dance male skater with a score of 220.42 , what champion is he with former partner Elena Ilinykh for the year 2010",2010 World Junior champion,Nikita Katsalapov|Nikita Katsalapov (lang:en),Different answer,major,ComplexQA/OTT_QA_dev_complex/00077.json
What are the buildings (built or in construction) with a height larger than 350 meters ?,Burj Khalifa | Shanghai Tower | Abraj Al-Bait Clock Tower | Ping An Finance Center | Lotte World Tower | One World Trade Center | Guangzhou CTF Finance Centre | China Zun | Taipei 101 | Shanghai World Financial Center | International Commerce Centre | Wuhan Greenland Center | Central Park Tower | Lakhta Center | Landmark 81 | Changsha IFS Tower T1 | [[Petronas Towers|Petronas Tower 2]] | Zifeng Tower | Willis Tower | KK100 | Guangzhou International Finance Center | Wuhan Center | 111 West 57th Street | One Vanderbilt | Dongguan International Trade Center 1 | 432 Park Avenue | Marina 101 | Trump International Hotel and Tower | Jin Mao Tower | Princess Tower | Al Hamra Tower | Two International Finance Centre | Guiyang International Financial Center T1 | China Resources Headquarters | CITIC Plaza | 30 Hudson Yards | Empire State Building | Elite Residence | Central Plaza | Federation Tower (East Tower) | Address Boulevard | Haitian Center Tower 2 | Bank of China Tower | Bank of America Tower | St. Regis Chicago | Almas Tower | Gevora Hotel | JW Marriott Marquis Dubai Tower 1 | JW Marriott Marquis Dubai Tower 2 | Emirates Office Tower | OKO Tower – South Tower | The Marina Torch,"Taichung Green Museumbrary|36470.0|Taichung Green Museumbrary (lang:en)
Kami-kawabata Building|24990.0|Kami-kawabata Building (lang:en)
Kami-kawabata Building|24820.0|Kami-kawabata Building (lang:en)
Ribbon Chapel|15260.0|Ribbon Chapel (lang:en)
HOUSE EPUTA|15100.0|HOUSE EPUTA (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00042.json
"In which 1995 action thriller movie did Antonio Banderas play an assassin, Miguel Bain",Assassins,Assassins,Same,1.0,ComplexQA/CompMix_table_complex/00118.json
Names of married partner madonna?,Guy Ritchie;Sean Penn,Guy Ritchie|Sean Penn,Same,1.0,SimpleQA/CompMix_table_simple_qa/00114.json
How many Golden Globe Awards did One Flew Over the Cuckoo's Nest get,6,0,Different answer,major,ComplexQA/CompMix_table_complex/00139.json
What are the different exoplanet search projects ?,ESPRESSO | FINDS Exo-Earths | Geneva Extrasolar Planet Search | HARPS-N | Next-Generation Transit Survey (NGTS) | Optical Gravitational Lensing Experiment (OGLE) | Search for extraterrestrial intelligence (SETI) | Spectro-Polarimetric High-Contrast Exoplanet Research (SPHERE) | SPECULOOS | The Habitable Exoplanet Hunting Project | Trans-Atlantic Exoplanet Survey (TrES),"Anglo-Australian Planet Search|Anglo-Australian Planet Search (lang:en)
HATNet Project|HATNet Project (lang:en)
High Accuracy Radial Velocity Planet Searcher|High Accuracy Radial Velocity Planet Searcher (lang:en)
Next-Generation Transit Survey|Next-Generation Transit Survey (lang:en)
Sagittarius Window Eclipsing Extrasolar Planet Search|Sagittarius Window Eclipsing Extrasolar Planet Search (lang:en)
Transiting Exoplanet Survey Satellite|Transiting Exoplanet Survey Satellite (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00051.json
In which year did Kröd Mändoon and the Flaming Sword of Fire come out,2009,2009,Same,1.0,ComplexQA/CompMix_infobox_complex/00072.json
Peaky Blinders web series is from?,United Kingdom,United Kingdom,Same,1.0,SimpleQA/CompMix_table_simple_qa/00044.json
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold,6,0,Different answer,major,ComplexQA/CompMix_table_complex/00008.json
