source_row_id,question,gold_answer,KG answer,file_path,taxonomy_label,LLM explanation,difference_severity
0,Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG,SimpleQA/CompMix_table_simple_qa/00141.json,Same,"The answers refer to the same company. 'Adidas' is the common name, and 'Adidas AG' is the full legal name. The question does not require the legal structure, so the core fact is identical. The difference is only in detail, not in meaning.",none
1,Which football club Kaka was playing for when he won the Ballon d'Or,A.C. Milan,AC Milan,ComplexQA/CompMix_infobox_complex/00115.json,Same,"The answers refer to the same club, AC Milan. The Gold answer uses 'A.C. Milan' (with periods) and the KG answer uses 'AC Milan' (without periods), which is a common formatting variation. There is no factual difference or conflict.",none
3,what is the original tittle of the book  Crime and Punishment book,Преступленіе и наказаніе,|Преступленіе и наказаніе (lang:ru-petr1708),ComplexQA/CompMix_infobox_complex/00122.json,Same,"The core title string 'Преступленіе и наказаніе' is identical in both answers. The KG answer's pipe character and orthography note are formatting differences, not semantic content, and are ignored per the judging rules.",none
5,Who Is the Creator of the Elite TV Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",SimpleQA/CompMix_table_simple_qa/00134.json,Same,"The answers list the same two creators: Carlos Montero and Darío Madrona. The only difference is the use of a comma versus a line break, which is a formatting variation. No factual or completeness difference exists.",none
6,Who Created by Elite Tv Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",SimpleQA/CompMix_table_simple_qa/00089.json,Same,"The answers list the same two creators: Carlos Montero and Darío Madrona. The difference is only in formatting (comma vs. newline), which is ignored per the guidelines. No factual disagreement or completeness difference exists.",none
7,what was the name of two vocal artist of Rain on Me,"Lady Gaga,Ariana Grande","Ariana Grande
Lady Gaga",ComplexQA/CompMix_infobox_complex/00228.json,Same,"The answers list the same two artists, Lady Gaga and Ariana Grande, in different order and with different separators. The core facts are identical and there are no missing or conflicting details.",none
8,In what city was the novel A Tale of Two Cities set,London; Paris,"London
Paris",ComplexQA/CompMix_infobox_complex/00270.json,Same,"Both answers correctly identify London and Paris as the settings of the novel. The KG answer uses a newline instead of a semicolon, but this is a formatting difference only. The core facts are identical.",none
10,what is the genre of  The Last Thing he told me,"Mystery, Thriller","thriller
mystery fiction",ComplexQA/CompMix_infobox_complex/00235.json,Same,"Both answers list the same two genres: Mystery (as 'mystery fiction' in KG) and Thriller. The difference is only in wording and capitalization, which are ignored per guidelines. No factual conflict or completeness issue.",none
12,Who are the creators of the TV show The Big Bang Theory,Chuck Lorre;Bill Prady,"Chuck Lorre
Bill Prady",ComplexQA/CompMix_infobox_complex/00252.json,Same,"The answers list the same two creators, Chuck Lorre and Bill Prady. The difference is only in the separator (semicolon vs. newline), which is a formatting difference and does not affect semantic meaning.",none
15,What is the name of the Tom Tom Club's first studio album,Tom Tom Club,"Tom Tom Club (lang:ast)
Tom Tom Club (lang:de)
Tom Tom Club (lang:en)
Tom Tom Club (lang:es)
Tom Tom Club (lang:fi)
...
Tom Tom Club (lang:hu)
Tom Tom Club (lang:it)
Tom Tom Club (lang:nl)
Tom Tom Club (lang:pt)
おしゃべり魔女 (lang:ja)",ComplexQA/CompMix_table_complex/00509.json,Same,"The answers are semantically equivalent. The Gold answer provides the album name 'Tom Tom Club', and the KG answer includes this exact name (in English) as one of its entries, with minor formatting differences (language tags). The incorrect Japanese entry does not affect the core fact of the album name.",none
18,what is the official slogan for the 2018 winter olympics,Passion. Connected.,Passion. Connected. (lang:en),SimpleQA/NQ_table_test_simple/00349.json,Same,"The answers are semantically equivalent. Both state the slogan 'Passion. Connected.' The KG answer includes a language tag, which is a minor formatting detail and does not alter the core fact. No meaningful difference exists.",none
21,What is the original title of the novel The Alchemist?,O Alquimista,O Alquimista (lang:pt),SimpleQA/CompMix_table_simple_qa/00184.json,Same,Both answers provide the same title 'O Alquimista' for the original novel. The KG answer adds a language tag (lang:pt) which is irrelevant to the question and does not change the title. The core fact is identical.,none
28,Names of married partner madonna?,Guy Ritchie;Sean Penn,"Guy Ritchie
Sean Penn",SimpleQA/CompMix_table_simple_qa/00114.json,Same,The answers list the same two married partners (Guy Ritchie and Sean Penn) with only a formatting difference (semicolon vs newline). No factual or completeness difference exists.,none
30,What country does the soccer player Johan Cruyff represent?,Netherlands,|Kingdom of the Netherlands,SimpleQA/CompMix_table_simple_qa/00229.json,Same,"The Gold answer 'Netherlands' and KG answer 'Kingdom of the Netherlands' refer to the same country. The KG answer uses the full official name, but the meaning is identical. No factual conflict or meaningful difference exists.",none
32,What is the total number of episodes in the TV series New Girl,146,146.0,ComplexQA/CompMix_infobox_complex/00167.json,Same,The answers both represent the same numerical value (146). The KG answer uses a float representation (146.0) which is semantically equivalent to the integer 146. No factual difference exists; the difference is purely in formatting.,none
33,What is the country of originate of the gang of four band,United Kingdom,|United Kingdom (lang:en),ComplexQA/CompMix_infobox_complex/00232.json,Same,"The answers both state 'United Kingdom' as the country of origin. The KG answer includes formatting metadata (| and (lang:en)) which is ignored per instructions. Core facts are identical, so the answers are semantically equivalent.",none
36,What is the total number of episodes in the TV series Vikings,89,89.0,ComplexQA/CompMix_infobox_complex/00196.json,Same,"The Gold answer '89' and KG answer '89.0' represent the same numerical value for the total episodes. The difference is solely in formatting (integer vs. float), which does not affect the semantic meaning or factual content. Both answers are correct and equivalent.",none
38,The science fiction tv series Space: Above and Beyond originally aired on which tv network,Fox,Fox Broadcasting Company,ComplexQA/CompMix_infobox_complex/00048.json,Same,"The answers refer to the same TV network. 'Fox' is the common shorthand for 'Fox Broadcasting Company', and both are correct for the question asking for the network. The difference is only in formality, not in factual content.",none
39,Which tv network originally aired the science fiction tv series Space: Above and Beyond,Fox,Fox Broadcasting Company,ComplexQA/CompMix_infobox_complex/00073.json,Same,"The answers match as 'Fox' is the standard shorthand for 'Fox Broadcasting Company', the network that originally aired the series. Both correctly identify the same entity without conflict or missing information.",none
