question,gold_answer,result_cleaned,result,sparql
What are the discovered bog bodies ?,Elling Woman | Grauballe Man | Haraldskær Woman | Huldremose Woman | Tollund Man | Kayhausen Boy | Osterby Man | Cashel Man | Gallagh Man | Old Croghan Man | Weerdinge Men | Yde Girl | Lindow Woman | Lindow Man | Cladh Hallan Skeletons,"Röst girl|Röst girl (lang:en)
Peiting Woman|Peiting Woman (lang:en)
Exloërmond Man|Exloërmond Man (lang:en)
Peat dog from Burlage|Peat dog from Burlage (lang:en)
Zweeloo Woman|Zweeloo Woman (lang:en)
...|...
Yde Girl|Yde Girl (lang:en)
Elling Woman|Elling Woman (lang:en)
Girl of the Uchter Moor|Girl of the Uchter Moor (lang:en)
Ballynahatty woman|Ballynahatty woman (lang:en)
Weerdinge Men|Weerdinge Men (lang:en)","| bogBody                              | name                              |
| ------------------------------------ | --------------------------------- |
| Röst girl (wd:Q1233884)              | Röst girl (lang:en)               |
| Peiting Woman (wd:Q1294494)          | Peiting Woman (lang:en)           |
| Exloërmond Man (wd:Q1357323)         | Exloërmond Man (lang:en)          |
| Peat dog from Burlage (wd:Q1403337)  | Peat dog from Burlage (lang:en)   |
| Zweeloo Woman (wd:Q15883619)         | Zweeloo Woman (lang:en)           |
| ...                                  | ...                               |
| Yde Girl (wd:Q271964)                | Yde Girl (lang:en)                |
| Elling Woman (wd:Q272465)            | Elling Woman (lang:en)            |
| Girl of the Uchter Moor (wd:Q319162) | Girl of the Uchter Moor (lang:en) |
| Ballynahatty woman (wd:Q54870046)    | Ballynahatty woman (lang:en)      |
| Weerdinge Men (wd:Q927721)           | Weerdinge Men (lang:en)           |","SELECT ?bogBody ?name WHERE {
  ?bogBody wdt:P31 wd:Q199414 .
  ?bogBody rdfs:label ?name .
  FILTER(LANG(?name) = ""en"")
}"
What are the existing deep fields ?,Hubble Deep Field | Hubble Deep Field South | Chandra Deep Field South | Hubble Ultra-Deep Field | Hubble Ultra-Deep Field (UV/VIS/NIR) | Hubble Legacy Field,"Hubble Deep Field South|Hubble Deep Field South (lang:en)
Chandra Deep Field South|Chandra Deep Field South (lang:en)
Hubble Ultra-Deep Field|Hubble Ultra-Deep Field (lang:en)
Hubble Legacy Field|Hubble Legacy Field (lang:en)
Chandra Deep Field North|Chandra Deep Field North (lang:en)
Hubble Deep Field|Hubble Deep Field (lang:en)","| item                                    | label                              |
| --------------------------------------- | ---------------------------------- |
| Hubble Deep Field South (wd:Q1117262)   | Hubble Deep Field South (lang:en)  |
| Chandra Deep Field South (wd:Q2948586)  | Chandra Deep Field South (lang:en) |
| Hubble Ultra-Deep Field (wd:Q429670)    | Hubble Ultra-Deep Field (lang:en)  |
| Hubble Legacy Field (wd:Q63614385)      | Hubble Legacy Field (lang:en)      |
| Chandra Deep Field North (wd:Q63697278) | Chandra Deep Field North (lang:en) |
| Hubble Deep Field (wd:Q741255)          | Hubble Deep Field (lang:en)        |","SELECT ?item ?label WHERE {
  ?item wdt:P31 wd:Q16537358 .
  ?item rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
}"
What are the bridges with a deck height of at least 200 meters ?,Chenab Bridge | Mtentu Bridge | Duge Bridge | Sidu River Bridge | Hegigio Gorge Pipeline Bridge | Beipan River Guanxing Highway Bridge | Liuguanghe Bridge | Royal Gorge Bridge | [[Sidi MCid Bridge]],"Vallée-Jonction Railway Bridge|Vallée-Jonction Railway Bridge (lang:en)|3000.0
Huajiang Canyon Bridge|Huajiang Canyon Bridge (lang:en)|625.0
Thune canal bridge|Thune canal bridge (lang:en)|575.0
Duge Bridge|Duge Bridge (lang:en)|565.0
Sidu River Bridge|Sidu River Bridge (lang:en)|496.0
Puli Bridge|Puli Bridge (lang:en)|485.0
wd:Q119812519||475.0
Navajo Bridge|Navajo Bridge (lang:en)|470.0
Navajo Bridge|Navajo Bridge (lang:en)|467.0
Jin'an Bridge|Jin'an Bridge (lang:en)|461.0","| bridge                                         | bridgeLabel                              | height               |
| ---------------------------------------------- | ---------------------------------------- | -------------------- |
| Vallée-Jonction Railway Bridge (wd:Q134280359) | Vallée-Jonction Railway Bridge (lang:en) | 3000.0 (xsd:decimal) |
| Huajiang Canyon Bridge (wd:Q117857889)         | Huajiang Canyon Bridge (lang:en)         | 625.0 (xsd:decimal)  |
| Thune canal bridge (wd:Q132672642)             | Thune canal bridge (lang:en)             | 575.0 (xsd:decimal)  |
| Duge Bridge (wd:Q18109819)                     | Duge Bridge (lang:en)                    | 565.0 (xsd:decimal)  |
| Sidu River Bridge (wd:Q1110979)                | Sidu River Bridge (lang:en)              | 496.0 (xsd:decimal)  |
| Puli Bridge (wd:Q7259308)                      | Puli Bridge (lang:en)                    | 485.0 (xsd:decimal)  |
| wd:Q119812519                                  |                                          | 475.0 (xsd:decimal)  |
| Navajo Bridge (wd:Q21281417)                   | Navajo Bridge (lang:en)                  | 470.0 (xsd:decimal)  |
| Navajo Bridge (wd:Q6981625)                    | Navajo Bridge (lang:en)                  | 467.0 (xsd:decimal)  |
| Jin'an Bridge (wd:Q18618992)                   | Jin'an Bridge (lang:en)                  | 461.0 (xsd:decimal)  |","SELECT DISTINCT ?bridge ?bridgeLabel ?height WHERE {
  ?bridge wdt:P31 / wdt:P279 * wd:Q12280 .
  ?bridge wdt:P2793 ?height .
  FILTER(?height >= 200)
  OPTIONAL {
    ?bridge rdfs:label ?bridgeLabel
    FILTER(LANG(?bridgeLabel) = 'en')
  }
}
ORDER BY DESC(?height)
LIMIT 10"
Which power plants were at some point in time the largest power plant in the world ?,Vemork | Sir Adam Beck Station I | Hoover Dam | Volga Hydroelectric Station | Bratsk Hydroelectric Power Station | Guri Dam | Three Gorges Dam,,,"SELECT ?plant ?plantLabel ?capacityMW ?commissioning WHERE {
  ?plant wdt:P31 / wdt:P279 * wd:Q159719 .
  ?plant wdt:P575 ?commissioning .
  ?plant p:P2109 / psv:P2109 ?capValue .
  ?capValue wikibase:quantityAmount ?amount ; wikibase:quantityUnit ?unit .
  BIND(IF(?unit = wd:Q712287 , ?amount , IF(?unit = wd:Q71222 , ?amount / 1000 , IF(?unit = wd:Q6308 , ?amount / 1000000 , IF(?unit = wd:Q25326 , ?amount * 1000 , 0)))) AS ?capacityMW)
  ?plant rdfs:label ?plantLabel .
  FILTER(LANG(?plantLabel) = ""en"")
  FILTER(?capacityMW > 0)
  FILTER(?commissioning >= ""1800-01-01T00:00:00Z"" ^^ xsd:dateTime)
  FILTER NOT EXISTS {
    ?otherPlant wdt:P31 / wdt:P279 * wd:Q159719 .
    ?otherPlant wdt:P575 ?otherComm .
    ?otherPlant p:P2109 / psv:P2109 ?otherCap .
    ?otherCap wikibase:quantityAmount ?oAmount ; wikibase:quantityUnit ?oUnit .
    BIND(IF(?oUnit = wd:Q712287 , ?oAmount , IF(?oUnit = wd:Q71222 , ?oAmount / 1000 , IF(?oUnit = wd:Q6308 , ?oAmount / 1000000 , IF(?oUnit = wd:Q25326 , ?oAmount * 1000 , 0)))) AS ?otherCapMW)
    FILTER(?otherComm < ?commissioning && ?otherCapMW > ?capacityMW)
  }
}
ORDER BY ?commissioning
LIMIT 20"
What are the discovered ring galaxies ?,Cartwheel Galaxy | NGC 6028 | [[Hoags Object]] | NGC 1512 | NGC 1433 | NGC 1533 | NGC 1350 | NGC 1386 | NGC 1387 | NGC 4622 | NGC 7217 | II Zw 28 | [[Mayalls Object]] | Arp 147 | NGC 4650A | NGC 660 | NGC 922 | LEDA 1000714 | NGC 1142 | NGC 3081 | NGC 7020 | NGC 7552 | NGC 7742,"NGC 985|NGC 985 (lang:en)
NGC 1015|NGC 1015 (lang:en)
PGC 16572|PGC 16572 (lang:en)
Cartwheel galaxy|Cartwheel galaxy (lang:en)
NGC 6028|NGC 6028 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
AM 0644-741|AM 0644-741 (lang:en)
Hoag's Object|Hoag's Object (lang:en)
Hoag's Object|Hoag's Object (lang:en)","| galaxy                         | label                      |
| ------------------------------ | -------------------------- |
| NGC 985 (wd:Q1040716)          | NGC 985 (lang:en)          |
| NGC 1015 (wd:Q1040914)         | NGC 1015 (lang:en)         |
| PGC 16572 (wd:Q117323317)      | PGC 16572 (lang:en)        |
| Cartwheel galaxy (wd:Q1208155) | Cartwheel galaxy (lang:en) |
| NGC 6028 (wd:Q2415550)         | NGC 6028 (lang:en)         |
| PGC 1000714 (wd:Q28362230)     | PGC 1000714 (lang:en)      |
| PGC 1000714 (wd:Q28362230)     | PGC 1000714 (lang:en)      |
| AM 0644-741 (wd:Q295479)       | AM 0644-741 (lang:en)      |
| Hoag's Object (wd:Q872197)     | Hoag's Object (lang:en)    |
| Hoag's Object (wd:Q872197)     | Hoag's Object (lang:en)    |","SELECT ?galaxy ?label WHERE {
  ?galaxy wdt:P31 / wdt:P279 * wd:Q752374 .
  OPTIONAL {
    ?galaxy rdfs:label ?label .
    FILTER(LANG(?label) = ""en"")
  }
  FILTER(bound(?label))
}"
What are the caves with a depth of at least 3.1km ?,Krubera-Voronja Cave | Sarma cave | Gouffre Mirolda | Gouffre Jean-Bernard | Chevé Cave | Čehi 2 | Boybuloq | Siebenhengste-Hohgant-Höhle | Gouffre Berger,,,"SELECT ?cave ?caveLabel ?depth WHERE {
  ?cave wdt:P31 / wdt:P279 * wd:Q35509 .
  ?cave wdt:P4511 ?depth .
  FILTER(?depth >= 3100)
  .
  ?cave rdfs:label ?caveLabel .
  FILTER(LANG(?caveLabel) = ""en"")
}
ORDER BY DESC(?depth)
LIMIT 10"
What are geothermal power station with a capacity of at least 10 Mw ?,Cerro Prieto | Coso | Darajat | The Geysers | Hatchōbaru | Hellisheiði | Imperial Valley | Kawerau | Krafla | Malitbog | Mammoth | McGinness Hills | Mutnovskaya | Nesjavellir | Nga Awa Purua | Ngatamariki | Ohaaki | Pauzhetskaya | Poihipi | Puna | Reykjanes | San Emidio | Svartsengi | Te Huka | Te Mihi | Wairakei | Wayang Windu,,,"SELECT ?station ?stationLabel ?value WHERE {
  ?station wdt:P31 / wdt:P279 * wd:Q30565277 .
  ?station wdt:P2109 ?capacity .
  ?capacity wikibase:quantityValue ?value .
  ?capacity wikibase:quantityUnit wd:Q712226 .
  FILTER(?value >= 10)
  OPTIONAL {
    ?station rdfs:label ?stationLabel
    FILTER(LANG(?stationLabel) = ""en"")
  }
}"
What are all the sumo stables ?,Araiso | Arashio | Asahiyama | Asakayama | Dewanoumi | Fujishima | Futagoyama | Hakkaku | Irumagawa | Isegahama | Isenoumi | Kasugano | Kataonami | Kise | Kokonoe | Michinoku | Minato | Miyagino | Naruto | Nishiiwa | Nishikido | Nishonoseki | Oguruma | Oitekaze | Onoe | o Ōnomatsu | o Ōtake | Sadogatake | Sakaigawa | Shibatayama | Shikihide | Shikoroyama | Tagonoura | Takadagawa | Takasago | Tamanoi | Tatsunami | Tokitsukaze | Tokiwayama | Tomozuna | Yamahibiki,"wd:Q109594302|
Nakamura Stable|Nakamura Stable (lang:en)
wd:Q11366860|
Hatachiyama stable|Hatachiyama stable (lang:en)
Futagoyama stable|Futagoyama stable (lang:en)
...|...
Tokitsukaze stable|Tokitsukaze stable (lang:en)
Tomozuna stable|Tomozuna stable (lang:en)
Ōnomatsu stable|Ōnomatsu stable (lang:en)
Ōshima stable|Ōshima stable (lang:en)
Ōtake stable|Ōtake stable (lang:en)","| stable                            | label                        |
| --------------------------------- | ---------------------------- |
| wd:Q109594302                     |                              |
| Nakamura Stable (wd:Q11366049)    | Nakamura Stable (lang:en)    |
| wd:Q11366860                      |                              |
| Hatachiyama stable (wd:Q11371388) | Hatachiyama stable (lang:en) |
| Futagoyama stable (wd:Q11371450)  | Futagoyama stable (lang:en)  |
| ...                               | ...                          |
| Tokitsukaze stable (wd:Q7813610)  | Tokitsukaze stable (lang:en) |
| Tomozuna stable (wd:Q7820348)     | Tomozuna stable (lang:en)    |
| Ōnomatsu stable (wd:Q8081671)     | Ōnomatsu stable (lang:en)    |
| Ōshima stable (wd:Q8081707)       | Ōshima stable (lang:en)      |
| Ōtake stable (wd:Q8081744)        | Ōtake stable (lang:en)       |","SELECT ?stable ?label WHERE {
  ?stable wdt:P31 wd:Q1759559 .
  OPTIONAL {
    ?stable rdfs:label ?label
    FILTER(LANG(?label) = ""en"")
    .
  }
}"
What are the tunnels with a length larger than 13 km ?,"Gotthard Base Tunnel | Seikan Tunnel | Channel Tunnel | Yulhyeon Tunnel | Lötschberg Base Tunnel | New Guanjiao Tunnel 新关角隧道 | Guadarrama Tunnel | West Qinling Tunnel 西秦岭隧道 | Taihang Tunnel 太行山隧道 | Hakkōda Tunnel | Iwate-Ichinohe Tunnel | Wushaoling Tunnel 乌鞘岭隧道 | Simplon, 2 tubes | Vereina | Apennine Base Tunnel | Mount Macdonald Tunnel | Fréjus | [[Mont dAmbin Base Tunnel]] https://www.telt-sas.com/en/the-first-9-km-of-the-base-tunnel-completed/ | Brenner Base Tunnel | Gaoligongshan Tunnel 高黎贡山隧道 | Koralm Tunnel | Oshima Tunnel | Blix Tunnel","Aki Tunnel|Aki Tunnel (lang:en)|13030.0
Shiziping Tunnel|Shiziping Tunnel (lang:en)|13156.0
Sciliar Tunnel|Sciliar Tunnel (lang:en)|13316.0
Wienerwald Tunnel|Wienerwald Tunnel (lang:en)|13356.0
Erlangshan extra-long tunnel|Erlangshan extra-long tunnel (lang:en)|13469.0
...|...|...
Channel Tunnel|Channel Tunnel (lang:en)|50450.0
Channel Tunnel|Channel Tunnel (lang:en)|50450.0
Seikan Tunnel|Seikan Tunnel (lang:en)|53850.0
Seikan Tunnel|Seikan Tunnel (lang:en)|53850.0
Tur‘at al Khadrāwīyah|Tur‘at al Khadrāwīyah (lang:en)|350000.0","| tunnel                                       | tunnelLabel                            | length                 |
| -------------------------------------------- | -------------------------------------- | ---------------------- |
| Aki Tunnel (wd:Q65261035)                    | Aki Tunnel (lang:en)                   | 13030.0 (xsd:decimal)  |
| Shiziping Tunnel (wd:Q134273742)             | Shiziping Tunnel (lang:en)             | 13156.0 (xsd:decimal)  |
| Sciliar Tunnel (wd:Q2239160)                 | Sciliar Tunnel (lang:en)               | 13316.0 (xsd:decimal)  |
| Wienerwald Tunnel (wd:Q873414)               | Wienerwald Tunnel (lang:en)            | 13356.0 (xsd:decimal)  |
| Erlangshan extra-long tunnel (wd:Q134273652) | Erlangshan extra-long tunnel (lang:en) | 13469.0 (xsd:decimal)  |
| ...                                          | ...                                    | ...                    |
| Channel Tunnel (wd:Q10257)                   | Channel Tunnel (lang:en)               | 50450.0 (xsd:decimal)  |
| Channel Tunnel (wd:Q10257)                   | Channel Tunnel (lang:en)               | 50450.0 (xsd:decimal)  |
| Seikan Tunnel (wd:Q99250)                    | Seikan Tunnel (lang:en)                | 53850.0 (xsd:decimal)  |
| Seikan Tunnel (wd:Q99250)                    | Seikan Tunnel (lang:en)                | 53850.0 (xsd:decimal)  |
| Tur‘at al Khadrāwīyah (wd:Q23949230)         | Tur‘at al Khadrāwīyah (lang:en)        | 350000.0 (xsd:decimal) |","SELECT ?tunnel ?tunnelLabel ?length WHERE {
  ?tunnel wdt:P31 / wdt:P279 * wd:Q44377 .
  ?tunnel wdt:P2043 ?length .
  ?tunnel rdfs:label ?tunnelLabel .
  FILTER(LANG(?tunnelLabel) = ""en"")
  FILTER(?length > 13000)
}
ORDER BY ?length"
Which weapons are of the type battle riffles ?,AVS-36 | CETME rifle | Desert Tech MDR | FM57 rifle | FN FAL | FN SCAR-H | Gewehr 41 | GRAM 63 battle rifle | Howa Type 64 | IWI ACE 52 | L1A1 Self-Loading Rifle | M1918 Browning Automatic Rifle | M1 Garand | M14 rifle | Madsen LAR | Mk 14 Enhanced Battle Rifle | Model 45A | SIG SG 510 | SIG SG 542 | SLEM-1 | SVT-40 | T48 rifle | Zastava M77 B1,"Heckler & Koch HK417|Heckler & Koch HK417 (lang:en)
Sako M23|Sako M23 (lang:en)
Mk 14 Enhanced Battle Rifle|Mk 14 Enhanced Battle Rifle (lang:en)
Howa Type 64|Howa Type 64 (lang:en)
Zastava M05N|Zastava M05N (lang:en)
FN SCAR H|FN SCAR H (lang:en)
M14|M14 (lang:en)
FG 42|FG 42 (lang:en)
Sturmgewehr 52|Sturmgewehr 52 (lang:en)
KAL1 General Purpose Infantry Rifle|KAL1 General Purpose Infantry Rifle (lang:en)","| weapon                                             | label                                         |
| -------------------------------------------------- | --------------------------------------------- |
| Heckler & Koch HK417 (wd:Q1064917)                 | Heckler & Koch HK417 (lang:en)                |
| Sako M23 (wd:Q110269207)                           | Sako M23 (lang:en)                            |
| Mk 14 Enhanced Battle Rifle (wd:Q1184636)          | Mk 14 Enhanced Battle Rifle (lang:en)         |
| Howa Type 64 (wd:Q1190940)                         | Howa Type 64 (lang:en)                        |
| Zastava M05N (wd:Q122987072)                       | Zastava M05N (lang:en)                        |
| FN SCAR H (wd:Q130734105)                          | FN SCAR H (lang:en)                           |
| M14 (wd:Q15082)                                    | M14 (lang:en)                                 |
| FG 42 (wd:Q158441)                                 | FG 42 (lang:en)                               |
| Sturmgewehr 52 (wd:Q15954641)                      | Sturmgewehr 52 (lang:en)                      |
| KAL1 General Purpose Infantry Rifle (wd:Q15956655) | KAL1 General Purpose Infantry Rifle (lang:en) |","SELECT ?weapon ?label WHERE {
  ?weapon wdt:P279 wd:Q1194268 .
  ?weapon rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
}
LIMIT 10"
