question,gold_answer,KG answer,taxonomy_label,sparql,confidence,source
list all the planet of the ape movies,Planet of the Apes | Beneath the Planet of the Apes | Escape from the Planet of the Apes | Conquest of the Planet of the Apes | Battle for the Planet of the Apes | Planet of the Apes | Rise of the Planet of the Apes | Dawn of the Planet of the Apes | War for the Planet of the Apes,Planet of the Apes|Beneath the Planet of the Apes|Escape from the Planet of the Apes|Conquest of the Planet of the Apes|Battle for the Planet of the Apes|Rise of the Planet of the Apes|Dawn of the Planet of the Apes|War for the Planet of the Apes|Kingdom of the Planet of the Apes,Higher accuracy in KG than in Table,"SELECT ?movie ?label WHERE {
  ?movie wdt:P31 wd:Q11424 .
  ?movie rdfs:label ?label .
  ?movie wdt:P577 ?release .
  FILTER(LANG(?label) = ""en"")
  FILTER(CONTAINS(LCASE(?label) , ""planet of the apes""))
}
GROUP BY ?movie ?label
ORDER BY MIN(?release)",0.9925069700668269,SimpleQA/NQ_table_test_simple/00603.json
Add together the number of races in the earliest and latest championship seasons won by Michael Schumacher that are described in the available information.,33,0,Different answer,"SELECT(SUM(?numRaces) AS ?total) WHERE {
  {
    SELECT ?season WHERE {
      ?season wdt:P31 wd:Q171879 ; wdt:P1346 wd:Q9671 ; wdt:P585 ?time .
    }
    ORDER BY ASC(?time)
    LIMIT 1
  } UNION {
    SELECT ?season WHERE {
      ?season wdt:P31 wd:Q171879 ; wdt:P1346 wd:Q9671 ; wdt:P585 ?time .
    }
    ORDER BY DESC(?time)
    LIMIT 1
  }
  ?season wdt:P1113 ?numRaces .
}",major,ComplexQA/Sportsreason_TANQ_complex/00194.json
5 cities with the highest population in europe,Istanbul | Moscow | London | Saint Petersburg | Berlin,"London|London (lang:en)|8799728.0
Madrid city|Madrid city (lang:en)|3332035.0
Almaty|Almaty (lang:en)|2228675.0
Warsaw|Warsaw (lang:en)|1862402.0
Barcelona|Barcelona (lang:en)|1731649.0",Different answer,"SELECT ?city ?cityLabel ?population WHERE {
  ?city wdt:P31 wd:Q515 .
  ?city wdt:P17 ?country .
  ?country wdt:P30 wd:Q46 .
  ?city wdt:P1082 ?population .
  ?city rdfs:label ?cityLabel .
  FILTER(lang(?cityLabel) = ""en"")
  .
  FILTER(isNumeric(?population))
}
ORDER BY DESC(?population)
LIMIT 5",major,SimpleQA/NQ_table_test_simple/00361.json
What is the name of the political party that Clint Eastwood was affiliated to in the year 1970,Republican Party,Republican Party|Libertarian Party,Higher accuracy in KG than in Table,"SELECT ?party ?partyLabel WHERE {
  wd:Q43203 wdt:P102 ?party .
  ?party rdfs:label ?partyLabel .
  FILTER(lang(?partyLabel) = 'en')
}",0.9462436680121771,ComplexQA/CompMix_infobox_complex/00013.json
where did they film the game of thrones,Canada | Croatia | Iceland | Malta | Morocco | Spain | Northern Ireland | Scotland | United States,Morocco|United Kingdom|Canada|Iceland|Scotland|Croatia|Malta|Northern Ireland|Spain|United States,Higher accuracy in KG than in Table,"SELECT ?location ?locationLabel WHERE {
  wd:Q23572 wdt:P915 ?location .
  OPTIONAL {
    ?location rdfs:label ?locationLabel
    FILTER(LANG(?locationLabel) = 'en')
  }
}",0.9839229820992634,SimpleQA/NQ_table_test_simple/00711.json
After their 2018 FIFA World Cup win how many wins did France national football team have,2,0,Different answer,"SELECT(COUNT(DISTINCT ?match) AS ?wins) WHERE {
  ?match wdt:P710 wd:Q47774 ; wdt:P585 ?date ; wdt:P1346 wd:Q47774 .
  FILTER(?date > ""2018-07-15T00:00:00Z"" ^^ xsd:dateTime)
}",major,ComplexQA/CompMix_infobox_complex/00033.json
Argentina national football team captain?,2018 FIFA World Cup,Lionel Messi,Different answer,"SELECT ?captain WHERE {
  wd:Q79800 wdt:P634 ?captain
}",major,SimpleQA/CompMix_table_simple_qa/00058.json
Which government official nominated Orion Clemens to the position of Secretary of Nevada Territory,Abraham Lincoln,James Buchanan|Abraham Lincoln,Higher accuracy in KG than in Table,"SELECT ?president ?presidentLabel WHERE {
  wd:Q1580241 wdt:P571 ?start ; wdt:P576 ?end .
  ?president p:P39 ?statement .
  ?statement ps:P39 wd:Q11696 .
  ?statement pq:P580 ?termStart ; pq:P582 ?termEnd .
  FILTER(?termStart <= ?end && ?termEnd >= ?start)
  .
  ?president rdfs:label ?presidentLabel .
  FILTER(LANG(?presidentLabel) = ""en"")
}",0.9072615207295234,ComplexQA/CompMix_infobox_complex/00076.json
star cast of ab tumhare hawale watan sathiyon,Amitabh Bachchan | Akshay Kumar | Bobby Deol | Divya Khosla Kumar | Sandali Sinha | Nagma,Akshay Kumar|Nagma|Bobby Deol|Sandali Sinha|Amitabh Bachchan,Higher accuracy in Table than in KG,"SELECT ?actor WHERE {
  wd:Q4663084 wdt:P161 ?actor
}",0.9708369998279893,SimpleQA/NQ_table_test_simple/00946.json
"Among the Collingwood, Richmond, and Sydney Swans VFL/AFL teams, sort them by their total number of Grand Final appearances from highest to lowest. What is the number of appearances for the team that ranks second",13,"Collingwood Football Club|Collingwood Football Club (lang:en)|20
Richmond Football Club|Richmond Football Club (lang:en)|18
Sydney Swans|Sydney Swans (lang:en)|8",Different answer,"SELECT ?team ?teamLabel(COUNT(?final) AS ?appearances) WHERE {
  VALUES ?team {
    wd:Q249679 wd:Q2521385 wd:Q2272176
  }
  {
    ?final wdt:P2715 ?team
  } UNION {
    ?final wdt:P1346 ?team
  }
  ?team rdfs:label ?teamLabel .
  FILTER(LANG(?teamLabel) = ""en"")
}
GROUP BY ?team ?teamLabel
ORDER BY DESC(?appearances)",major,ComplexQA/Sportsreason_TANQ_complex/00042.json
