file_name,invalid_label
00009.json,no_sparql_generated
00038.json,null_output
00047.json,no_sparql_generated
00050.json,no_sparql_generated
00065.json,no_sparql_generated
00078.json,no_sparql_generated
00085.json,null_output
00107.json,null_output
00110.json,no_sparql_generated
00119.json,null_output
00153.json,no_sparql_generated
00181.json,no_sparql_generated
00186.json,null_output
00192.json,null_output
00208.json,no_sparql_generated
00218.json,no_sparql_generated
00228.json,no_sparql_generated
00229.json,sparql_execution_failed (execution)
00245.json,null_output
00250.json,no_sparql_generated
00252.json,no_sparql_generated
00261.json,no_sparql_generated
00263.json,no_sparql_generated
00264.json,null_output
00266.json,no_sparql_generated
00267.json,no_sparql_generated
00268.json,no_sparql_generated
00276.json,no_sparql_generated
00277.json,sparql_execution_failed (execution)
00291.json,no_sparql_generated
00302.json,no_sparql_generated
00308.json,sparql_execution_failed (execution)
