question,answer,source
What was Bob Bradley's previous job before he took the job as the head coach of the United States men's national soccer team,Head coach of Chivas USA,CompMix_table
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels,Jim Parsons,CompMix_table
Who is the director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,CompMix_table
What is the name of the football player who won the player of the season title in 2021 for Barnsley F.C,Michał Helik,CompMix_table
In which year did the American sitcom series Will & Grace return for another three seasons after ending in 2006,2017,CompMix_table
What year did the American sitcom series Will & Grace return for three more seasons after the original run ended,2017,CompMix_table
Which player was awarded the most number of Man of the match titles in the FIFA world cup of 2006,Andrea Pirlo,CompMix_table
How many movies were in the Die Hard series before A Good Day to Die Hard came out in 2013,4,CompMix_table
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold,6,CompMix_table
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011,1,CompMix_table
"When was the original version of the song I am not a woman, I’m a god released in USA","August 31, 2021",CompMix_table
According to the 11 Nov 2021 result who called the most capped player in Brazil Nation Football Team ,Cafu,CompMix_table
"What is the name of the ghostwriter of the first book in the Hardy Boys series, The Tower Treasure",Leslie McFarlane,CompMix_table
What is the total number of appearances made by Marco Reus as of 2021 for the club Borussia Dortmund,332,CompMix_table
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series",4,CompMix_table
What is the name of the book that comes after the book Killing Floor in the Jack Reacher series,Die Trying,CompMix_table
"What year was it on Earth in the last novel of The Chronicles of Narnia series, The Last Battle",1949,CompMix_table
How many goals did Pat Healey make in the 2008 season when he was playing for Crystal Palace Baltimore,8,CompMix_table
Who is the character that Robin ends up marrying in the last season of How I Met Your Mother,Barney Stinson,CompMix_table
"What is the name of the first episode of the first season of the series, Buffy the Vampire Slayer",Welcome to the Hellmouth,CompMix_table
Which 2009 first person shooter game did Lance Henriksen who was Frank Black in Millennium did voice work for,Call of Duty: Modern Warfare 2,CompMix_table
What were the demographics of black people in Memphis Tennessee when If Beale Street Could Talk was written,38.9%,CompMix_table
What is the name of the 2012 movie that fetched Meryl Streep an Oscar for the best actress,The Iron Lady,CompMix_table
When was released the song I'm Your Angel in United States in the format of Contemporary hit radio,13 October 1998,CompMix_table
What is the name of the actress who won the Academy Award in 2014 instead of Sandra Bullock,Cate Blanchett,CompMix_table
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,CompMix_table
The American goalkeeper Sean Johnson played how many game for the US men's national soccer team in 2011,1,CompMix_table
Who is the screenwriter  of the second part Dead Man's Chest in the flim Pirates of the Caribbean,Terry Rossio,CompMix_table
