question,gold_answer,result_cleaned,result,sparql
"For the snooker players who participated in the 2002 Masters, sort them by their highest career ranking (lowest number first), and then by the number of Masters titles they had won by the end of the 2001/02 season (highest number first). How many Masters titles had the third player in this sorted list won by the end of the 2001/02 season",0,,,"SELECT ?player ?bestRank (COUNT(?title) AS ?titles) WHERE {
  wd:Q2070302 wdt:P710 ?player .
  ?player wdt:P1535 ?bestRank .
  ?title wdt:P361 wd:Q1360577 .
  ?title wdt:P170 ?player .
  ?title wdt:P582 ?endDate .
  FILTER(?endDate < ""2002-02-03T00:00:00Z""^^xsd:dateTime)
} GROUP BY ?player ?bestRank
ORDER BY ?bestRank ASC ?titles DESC
LIMIT 1 OFFSET 2"
Sort the Australian rules football clubs that were competing in the Victorian Football League in 1913 or 1944 by their total number of Victorian Football League or Australian Football League Grand Final losses from fewest to most. What is the number of Grand Final losses for the club that ranks second in this sorted list,13,,,"SELECT ?club ?losses WHERE {
  ?club p:P2055 ?membership .
  ?membership ps:P2055 wd:Q7891 .
  ?membership pq:P580 ?startYear .
  ?membership pq:P582 ?endYear .
  FILTER((?startYear <= ""1913-01-01"" ^^ xsd:date && ?endYear >= ""1913-01-01"" ^^ xsd:date) ||(?startYear <= ""1944-01-01"" ^^ xsd:date && ?endYear >= ""1944-01-01"" ^^ xsd:date))
  ?club wdt:P2554 ?losses .
}
ORDER BY ASC(?losses)
LIMIT 2"
"Consider the number of rounds listed for drivers in the 2002 season who did not participate in all races, along with the number of rounds listed for practice drivers in the 2003 season. Sort these numbers from lowest to highest. What is the number at the eighth position in the sorted list",5,,,
Sort the people who worked for the Brentford football club and were born in or before 1956 by their birth year from oldest to youngest. What is the sum of the number of seasons the person who ranks second managed the club and the total appearances for the club by the player born in 1979,108,,,
"How many games involving the St. Louis Cardinals are summarized across the game results for the 1982 National League Championship Series, 2006 National League Championship Series, 2011 World Series, 2013 National League Championship Series, and 2011 National League Championship Series",29,0,"| total_games |
| ----------- |
| 0 (xsd:int) |","SELECT(SUM(?games) AS ?total_games) WHERE {
  VALUES ?series {
    wd:Q3511232 wd:Q3511260 wd:Q1188429 wd:Q14870261 wd:Q1099083
  }
  ?series wdt:P331 ?games
}"
"Among the Melbourne-based Australian rules football teams Essendon, Hawthorn, Richmond, and Collingwood, sort them by the year of their most recent Grand Final appearance mentioned in the evidence from earliest to latest. What year does the second team in this sorted list belong to",2015,,,"SELECT ?team(MAX(?date) AS ?maxDate) WHERE {
  VALUES ?team {
    wd:Q251090 wd:Q5548 wd:Q251083 wd:Q874
  }
  ?team wdt:P517 ?competition .
  ?competition wdt:P3967 ?event .
  ?event wdt:P585 ?date .
}
GROUP BY ?team
ORDER BY ?maxDate
OFFSET 1
LIMIT 1"
"Sort the games played between the Los Angeles Dodgers and Philadelphia Phillies in the National League Championship Series for the years 1977, 1978, 2008, and 2009 by duration from shortest to longest. What was the attendance of the game with the fifth shortest duration",45839,,,"SELECT ?event WHERE {
  ?event wdt:P31 wd:Q26095; # instance of National League Championship Series
          wdt:P585 ?date;
          p:P175 [ ps:P175 wd:Q334634 ];
          p:P175 [ ps:P175 wd:Q650840 ];
  ?date > ""+1977-00-00T00:00:00Z/9"";
  ?date < ""+1978-00-00T00:00:00Z/9"";
  # Add other years (1978, 2008, 2009)
  FILTER(
    ?date < ""+1979-00-00T00:00:00Z/9"" ||
    ?date < ""+2009-00-00T00:00:00Z/9"" && ?date >= ""+2008-00-00T00:00:00Z/9"" ||
    ?date < ""+2010-00-00T00:00:00Z/9"" && ?date >= ""+2009-00-00T00:00:00Z/9""
  )
}"
"Sort the teams that have played against Collingwood in a Grand Final by the year of their first Grand Final appearance against Collingwood, from earliest to latest. What was the year of the first Grand Final against Collingwood for the team ranked fourth in this list",1926,,,"SELECT(MIN(YEAR(?eventDate)) AS ?firstYear) WHERE {
  ?event wdt:P31 wd:Q2227220 .
  ?event wdt:P170 wd:Q249679 .
  ?event wdt:P170 ?opponentTeam .
  FILTER(?opponentTeam != wd:Q249679)
  ?event wdt:P585 ?eventDate .
}
GROUP BY ?opponentTeam
ORDER BY MIN(YEAR(?eventDate))
OFFSET 3
LIMIT 1"
"Sort the players who participated in the 2002 Masters snooker competition by their year of birth from oldest to youngest, and then alphabetically by last name for those with the same year of birth. What is the year of birth of the sixth player in this sorted list",1974,1962|1969|1970|1971,"| birthYear      |
| -------------- |
| 1962 (xsd:int) |
| 1969 (xsd:int) |
| 1969 (xsd:int) |
| 1969 (xsd:int) |
| 1970 (xsd:int) |
| 1971 (xsd:int) |","SELECT ?birthYear WHERE {
  ?player wdt:P1344 wd:Q2070302 .
  ?player wdt:P569 ?birthDate .
  BIND(YEAR(?birthDate) AS ?birthYear)
  OPTIONAL {
    ?player wdt:P734 ?lastName
  }
}
ORDER BY ASC(?birthYear) ASC(?lastName)
LIMIT 6"
Sort the attendance figures for all games played between the Pittsburgh Pirates and the Cincinnati Reds in the National League Championship Series from 1972 through 1979 from highest to lowest. What is the attendance figure for the fifth game in this sorted list,52420,,,"SELECT ?game ?attendance WHERE {
  wd:Q3511221 wdt:P150 ?game .
  ?game wdt:P1110 ?attendance .
}
ORDER BY DESC(?attendance)
LIMIT 5"
