source_row_id,question,gold_answer,KG answer,file_path,taxonomy_label,LLM explanation,difference_severity
0,who was the first elected president of pakistan,Iskander Mirza,Iskandar Ali Mirza|Iskandar Ali Mirza (lang:en),SimpleQA/NQ_table_test_simple/00608.json,Same,"The answers refer to the same person. 'Iskander Mirza' (Gold) and 'Iskandar Ali Mirza' (KG) are standard transliteration variants of the same name. The spelling difference ('Iskander' vs 'Iskandar') is a common normalization in English sources and does not alter the identity. The language tag in KG is irrelevant to the factual content. Thus, the answers are semantically equivalent.",none
9,what emperor took over france after the reign of terror,Napoleon Bonaparte,Napoleon|Napoleon (lang:en),SimpleQA/NQ_table_test_simple/00858.json,Same,"The answers are semantically equivalent. 'Napoleon' is the standard short form for 'Napoleon Bonaparte' in historical context, and both correctly identify the emperor who seized power after the Reign of Terror. The difference is solely in name formatting (full vs. common short form), not factual content or precision.",none
11,who was elected president in mexico in 2000,Vicente Fox,Vicente Fox Quesada|Vicente Fox Quesada (lang:en),SimpleQA/NQ_table_test_simple/00184.json,Same,"The Gold answer 'Vicente Fox' uses the standard common name for Mexico's 2000 president, while the KG answer 'Vicente Fox Quesada' provides the full name. Both refer to the same person, with the KG answer adding minor detail not required by the question. The core fact is identical, and the difference is purely in name specificity without factual conflict.",none
14,who won the ncaa women's championship last year 2017,South Carolina Gamecocks,South Carolina Gamecocks women's basketball|South Carolina Gamecocks women's basketball (lang:en),SimpleQA/NQ_table_test_simple/00488.json,Same,"Both answers correctly identify the South Carolina Gamecocks as the winner of the 2017 NCAA women's championship. The KG answer's inclusion of 'women's basketball' is redundant given the question's context (NCAA women's championship) and does not alter the core factual content. Differences are limited to minor redundancy, not semantic or factual conflict.",none
18,Which club was Neymar transferred to from the football club Barcelona?,Paris Saint-Germain F.C.,Paris Saint-Germain FC|Paris Saint-Germain FC (lang:en),SimpleQA/CompMix_table_simple_qa/00269.json,Same,Both answers correctly identify Paris Saint-Germain as the club. The difference in 'F.C.' (with period) versus 'FC' (without period) is a minor formatting variation that does not alter the semantic meaning or factual content. The core club name is identical.,none
20,who won the ncaa basketball championship in 1994,Arkansas Razorbacks,Arkansas Razorbacks men's basketball,SimpleQA/NQ_table_test_simple/00661.json,Same,"The Gold answer 'Arkansas Razorbacks' is the standard reference for the men's basketball team that won the 1994 NCAA championship. The KG answer adds 'men's basketball' for specificity, but the core fact (the winning team) is identical. The difference is purely redundant phrasing, not a factual discrepancy or missing detail.",none
23,Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG|Adidas AG (lang:en),SimpleQA/CompMix_table_simple_qa/00141.json,Same,"Both answers refer to the same company. 'Adidas' is the common name used in sports contexts, while 'Adidas AG' is the legal entity name. The KG answer's additional 'AG' and language tag are formatting details that don't change the core fact. No factual conflict or precision difference exists for the question.",none
24,Who Created by Elite Tv Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",SimpleQA/CompMix_table_simple_qa/00089.json,Same,"Both answers list the exact same creators: Carlos Montero and Darío Madrona. The difference is solely in formatting (comma-separated vs. newline-separated), which is ignored per guidelines. No factual disagreement, completeness gap, or precision difference exists.",none
25,Who Is the Creator of the Elite TV Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",SimpleQA/CompMix_table_simple_qa/00134.json,Same,"Both answers list the exact same creators: Carlos Montero and Darío Madrona. The KG answer uses a line break instead of a comma, but this is a formatting difference only. No factual, completeness, or precision differences exist between the answers.",none
28,"For the German athlete medalist at the 2013 World Aquatics Championships is a former world record holder in the 200 meter breastroke , what month did he win silver",2 August,August,ComplexQA/OTT_QA_dev_complex/00007.json,Same,"Both answers correctly state the month as August. The Gold answer includes the day (2) which is not required by the question, but the month is identical. The difference is purely in extra detail and does not affect the core fact.",none
