Source_JSON,Record_Index,Question_ID,Convmix_Question_ID,Domain,Question,Gold_Answer,QA-Pairs,Entity_1,Entity_1_Label,Entity_2,Entity_2_Label,Connection_Path,Property_Number,Property_list,Qualifier_Number,Qualifier_list
CompMix_infobox.jsonl,1,2212,737-0,tvseries,Which country did the TV series Coupling originate?,United Kingdom,Q: Which country did the TV series Coupling originate? | A: United Kingdom,Q1137587,Coupling,Q145,United Kingdom,Q1137587->P495->Q145,1,P495,,
CompMix_infobox.jsonl,3,2335,778-4,soccer,Barcelona football team was from?,Spain,Q: Barcelona football team was from? | A: Spain,Q7156,FC Barcelona,Q1492,Barcelona,"Path1: Q7156->P1268->Q1492
Path2: Q7156->P131->Q1492
Path3: Q7156->P138->Q1492
Path4: Q7156->P159->Q1492
Path5: Q7156->P740->Q1492",5,P1268;P131;P138;P159;P740,,
CompMix_infobox.jsonl,4,647,216-0,tvseries,Who created Friends?,David Crane and Marta Kauffman,Q: Who created Friends? | A: David Crane and Marta Kauffman,Q79784,Friends,Q237454,Marta Kauffman,"Path1: Q79784->P162->Q237454
Path2: Q79784->P170->Q237454",2,P162;P170,,
CompMix_infobox.jsonl,5,1517,506-0,tvseries,What is the genre of TV series The Crown?,Historical drama,Q: What is the genre of TV series The Crown? | A: Historical drama,Q20707362,The Crown,Q19952568,historical fiction drama,,,,,
CompMix_infobox.jsonl,6,1039,346-2,tvseries,Which is the birth place of the Blake Neely?,"Paris, Texas","Q: Which is the birth place of the Blake Neely? | A: Paris, Texas",Q881273,Blake Neely,Q830149,Paris,Q881273->P19->Q830149,1,P19,,
CompMix_infobox.jsonl,7,4045,1370-2,books,"What is a ""Wuthering Heights"" novel's genre?",gothic fiction,"Q: What is a ""Wuthering Heights"" novel's genre? | A: gothic fiction",Q202975,Wuthering Heights,Q20669641,Gothic fiction,Q202975->P136->Q20669641,1,P136,,
CompMix_infobox.jsonl,9,3664,1242-4,movies,Who is the director of the film Maqbool?,Vishal Bhardwaj,Q: Who is the director of the film Maqbool? | A: Vishal Bhardwaj,Q542866,Maqbool,Q2742292,Vishal Bhardwaj,"Path1: Q542866->P175->Q2742292
Path2: Q542866->P57->Q2742292
Path3: Q542866->P58->Q2742292
Path4: Q542866->P86->Q2742292",4,P175;P57;P58;P86,,
CompMix_infobox.jsonl,10,2634,888-1,soccer,Who did Italy play against in the 1982 Men's World Cup Final?,Germany national football team,Q: Who did Italy play against in the 1982 Men's World Cup Final? | A: Germany national football team,Q46934,1982 FIFA World Cup,Q43310,Germany national association football team,Q46934->P1923->Q43310,1,P1923,,
CompMix_infobox.jsonl,11,1251,416-3,tvseries,Where did Joel de la Fuente get his bachelor degree?,Brown University,Q: Where did Joel de la Fuente get his bachelor degree? | A: Brown University,Q6214117,Joel de la Fuente,Q49114,Brown University,Q6214117->P69->Q49114,1,P69,,
CompMix_infobox.jsonl,12,1998,666-1,tvseries,Who is the creator of the bones tv series?,Hart Hanson,Q: Who is the creator of the bones tv series? | A: Hart Hanson,Q207803,Bones,Q570177,Hart Hanson,"Path1: Q207803->P1431->Q570177
Path2: Q207803->P170->Q570177",2,P1431;P170,,
CompMix_infobox.jsonl,14,2370,790-3,books,What was the main topic in Jurassic park?,dinosaur,Q: What was the main topic in Jurassic park? | A: dinosaur,Q200873,The Lost World: Jurassic Park,Q430,dinosaur,Q200873->P921->Q430,1,P921,,
CompMix_infobox.jsonl,16,525,174-3,music,Selena Gomez plays what instrument?,piano,Q: Selena Gomez plays what instrument? | A: piano,Q83287,Selena Gomez,Q5994,piano,,,,,
CompMix_infobox.jsonl,18,4927,1666-3,tvseries,On which network did I Love Lucy originally air?,CBS,Q: On which network did I Love Lucy originally air? | A: CBS,Q181943,I Love Lucy,Q43380,CBS,Q181943->P449->Q43380,1,P449,,
CompMix_infobox.jsonl,19,3265,1108-4,soccer,Who is the Head coach of Belgium national football team?,Roberto Martínez,Q: Who is the Head coach of Belgium national football team? | A: Roberto Martínez,Q166776,Belgium national football team,Q357994,Roberto Mart\u00EDnez,Q166776->P286->Q357994,1,P286,,
CompMix_infobox.jsonl,20,354,118-0,soccer,Which country team did Landon Donovan play?,United States of America,Q: Which country team did Landon Donovan play? | A: United States of America,Q30,United States of America,Q202237,Landon Donovan,"Path1: Q202237->P1532->Q30
Path2: Q202237->P27->Q30
Path3: Q202237->P103->Q1860->P17->Q30
Path4: Q202237->P118->Q18543->P17->Q30
Path5: Q202237->P1412->Q1860->P17->Q30
Path6: Q202237->P19->Q488134->P17->Q30
Path7: Q202237->P26->Q247088->P27->Q30
Path8: Q202237->P54->Q164134->P1532->Q30
Path9: Q202237->P54->Q287804->P1532->Q30
Path10: Q202237->P54->Q3590570->P1532->Q30
Path11: Q202237->P54->Q3590572->P1532->Q30
Path12: Q202237->P54->Q1641120->P17->Q30
Path13: Q202237->P54->Q164134->P17->Q30
Path14: Q202237->P54->Q204357->P17->Q30
Path15: Q202237->P54->Q287804->P17->Q30
Path16: Q202237->P54->Q3590570->P17->Q30
Path17: Q202237->P54->Q3590572->P17->Q30
Path18: Q202237->P54->Q575370->P17->Q30
Path19: Q202237->P6087->Q65049617->P17->Q30
Path20: Q202237->P69->Q7306033->P17->Q30",11,P1532;P27;P103;P17;P118;P1412;P19;P26;P54;P6087;P69,,
CompMix_infobox.jsonl,21,2471,824-3,music,Which award has this 'eagles' band been nominated for?,Grammy Award for Best New Artist,Q: Which award has this 'eagles' band been nominated for? | A: Grammy Award for Best New Artist,Q189635,Eagles,Q1453643,Grammy Award for Best New Artist,Q189635->P1411->Q1453643,1,P1411,,
CompMix_infobox.jsonl,24,2516,840-0,books,What is the sequel of the book The Adventures of Tom Sawyer?,Adventures of Huckleberry Finn,Q: What is the sequel of the book The Adventures of Tom Sawyer? | A: Adventures of Huckleberry Finn,Q326914,The Adventures of Tom Sawyer,Q215410,Adventures of Huckleberry Finn,Q326914->P156->Q215410,1,P156,,
CompMix_infobox.jsonl,26,310,102-4,movies,What is the name of the director of Man of Steel?,Zack Snyder,Q: What is the name of the director of Man of Steel? | A: Zack Snyder,Q25191,Christopher Nolan,Q139890,Zack Snyder,,,,,
CompMix_infobox.jsonl,27,315,104-3,music,Britney Spears' eye colour?,Brown,Q: Britney Spears' eye colour? | A: Brown,Q11975,Britney Spears,Q17122705,brown,Q11975->P1340->Q17122705,1,P1340,,
CompMix_infobox.jsonl,28,3765,1276-4,tvseries,who is the creator of 'Boston Public' series?,David E. Kelley,Q: who is the creator of 'Boston Public' series? | A: David E. Kelley,Q894582,Boston Public,Q504720,David E. Kelley,"Path1: Q894582->P1431->Q504720
Path2: Q894582->P170->Q504720",2,P1431;P170,,
CompMix_infobox.jsonl,29,3486,1182-4,movies,who is the composer of Birds of Prey movie?,Daniel Pemberton,Q: who is the composer of Birds of Prey movie? | A: Daniel Pemberton,Q57177410,Birds of Prey,Q5218424,Daniel Pemberton,Q57177410->P86->Q5218424,1,P86,,
CompMix_infobox.jsonl,30,1838,612-3,movies,Who directed the 2002 film Catch Me If You Can?,Steven Spielberg,Q: Who directed the 2002 film Catch Me If You Can? | A: Steven Spielberg,Q208108,Catch Me If You Can,Q8877,Steven Spielberg,Q208108->P57->Q8877,1,P57,,
CompMix_infobox.jsonl,31,3014,1024-3,music,Who performed as the drummer?,Norman Sheffield,Q: Who performed as the drummer? | A: Norman Sheffield,Q16845701,The Hunters,Q7052784,Norman Sheffield,,,,,
CompMix_infobox.jsonl,33,3270,1110-3,books,Who is the publisher of the book  Ulysses?,Shakespeare and Company,Q: Who is the publisher of the book  Ulysses? | A: Shakespeare and Company,Q6511,Ulysses,Q1503157,Shakespeare and Company,Q6511->P123->Q1503157,1,P123,,
CompMix_infobox.jsonl,34,3036,1032-1,movies,Which novel Based on	 the  film series The Chronicles of Narnia?,The Chronicles of Narnia by C. S. Lewis,Q: Which novel Based on	 the  film series The Chronicles of Narnia? | A: The Chronicles of Narnia by C. S. Lewis,Q483412,The Chronicles of Narnia,Q1211909,The Chronicles of Narnia,Q483412->P4969->Q1211909,1,P4969,,
CompMix_infobox.jsonl,35,1294,430-4,books,Who published The Chosen?,Simon & Schuster,Q: Who published The Chosen? | A: Simon & Schuster,Q2752989,The Chosen,Q1756332,Simon & Schuster,Q2752989->P123->Q1756332,1,P123,,
CompMix_infobox.jsonl,36,3738,1268-0,soccer,What is Luis Suárez soccer team in 2021?,Atlético de Madrid,Q: What is Luis Suárez soccer team in 2021? | A: Atlético de Madrid,Q26517,Luis Su\u00E1rez,Q8701,Atl\u00E9tico Madrid,Q26517->P54->Q8701,1,P54,,
CompMix_infobox.jsonl,37,4014,1360-1,books,who is the author of this book?,James Joyce,Q: who is the author of this book? | A: James Joyce,Q6511,Ulysses,Q6882,James Joyce,Q6511->P50->Q6882,1,P50,,
CompMix_infobox.jsonl,38,1669,556-2,tvseries,What is the genre of the tv series bones?,police procedural,Q: What is the genre of the tv series bones? | A: police procedural,Q207803,Bones,Q2321734,police procedural,Q207803->P136->Q2321734,1,P136,,
CompMix_infobox.jsonl,41,4058,1374-3,music,What genre does this 'Green Day' band belong to?,punk rock,Q: What genre does this 'Green Day' band belong to? | A: punk rock,Q47871,Green Day,Q3071,punk rock,Q47871->P136->Q3071,1,P136,,
CompMix_infobox.jsonl,43,1188,396-0,tvseries,Who is the creator of the Riverdale tv series?,Roberto Aguirre-Sacasa,Q: Who is the creator of the Riverdale tv series? | A: Roberto Aguirre-Sacasa,Q23001951,Riverdale,Q7351575,Roberto Aguirre-Sacasa,"Path1: Q23001951->P1431->Q7351575
Path2: Q23001951->P170->Q7351575",2,P1431;P170,,
CompMix_infobox.jsonl,44,451,150-1,books,"What was the media type of the novel ""Nineteen Eighty-Four""?",Print,"Q: What was the media type of the novel ""Nineteen Eighty-Four""? | A: Print",Q208460,Nineteen Eighty-Four,Q59520170,Print,,,,,
CompMix_infobox.jsonl,48,1253,417-0,tvseries,The science fiction tv series Space: Above and Beyond originally aired on which tv network?,Fox,Q: The science fiction tv series Space: Above and Beyond originally aired on which tv network? | A: Fox,Q729265,Space: Above and Beyond,Q166419,Fox Broadcasting Company,"Path1: Q729265->P272->Q166419
Path2: Q729265->P449->Q166419",2,P272;P449,,
