file_name,invalid_label
00004.json,sparql_execution_failed (preprocessing)
00011.json,sparql_execution_failed (execution)
00028.json,null_output
00061.json,null_output
00094.json,null_output
00104.json,sparql_execution_failed (preprocessing)
00113.json,null_output
00153.json,no_sparql_generated
00164.json,no_sparql_generated
00210.json,sparql_execution_failed (execution)
00214.json,sparql_execution_failed (preprocessing)
00238.json,sparql_execution_failed (execution)
00239.json,sparql_execution_failed (execution)
00240.json,sparql_execution_failed (execution)
00269.json,no_sparql_generated
00282.json,sparql_execution_failed (execution)
00283.json,sparql_execution_failed (execution)
00284.json,sparql_execution_failed (execution)
00285.json,sparql_execution_failed (execution)
00286.json,sparql_execution_failed (execution)
00287.json,sparql_execution_failed (execution)
00288.json,sparql_execution_failed (execution)
00289.json,sparql_execution_failed (execution)
00290.json,sparql_execution_failed (execution)
00291.json,sparql_execution_failed (execution)
00292.json,sparql_execution_failed (execution)
00293.json,sparql_execution_failed (execution)
00294.json,sparql_execution_failed (execution)
00295.json,sparql_execution_failed (execution)
00296.json,sparql_execution_failed (execution)
00297.json,sparql_execution_failed (execution)
00298.json,sparql_execution_failed (execution)
00299.json,sparql_execution_failed (execution)
