question_text,answer_list
What are the discovered bog bodies ?,Elling Woman | Grauballe Man | Haraldskær Woman | Huldremose Woman | Tollund Man | Kayhausen Boy | Osterby Man | Cashel Man | Gallagh Man | Old Croghan Man | Weerdinge Men | Yde Girl | Lindow Woman | Lindow Man | Cladh Hallan Skeletons
What are the existing deep fields ?,Hubble Deep Field | Hubble Deep Field South | Chandra Deep Field South | Hubble Ultra-Deep Field | Hubble Ultra-Deep Field (UV/VIS/NIR) | Hubble Legacy Field
What are the bridges with a deck height of at least 200 meters ?,Chenab Bridge | Mtentu Bridge | Duge Bridge | Sidu River Bridge | Hegigio Gorge Pipeline Bridge | Beipan River Guanxing Highway Bridge | Liuguanghe Bridge | Royal Gorge Bridge | [[Sidi MCid Bridge]]
Which power plants were at some point in time the largest power plant in the world ?,Vemork | Sir Adam Beck Station I | Hoover Dam | Volga Hydroelectric Station | Bratsk Hydroelectric Power Station | Guri Dam | Three Gorges Dam
What are the discovered ring galaxies ?,Cartwheel Galaxy | NGC 6028 | [[Hoags Object]] | NGC 1512 | NGC 1433 | NGC 1533 | NGC 1350 | NGC 1386 | NGC 1387 | NGC 4622 | NGC 7217 | II Zw 28 | [[Mayalls Object]] | Arp 147 | NGC 4650A | NGC 660 | NGC 922 | LEDA 1000714 | NGC 1142 | NGC 3081 | NGC 7020 | NGC 7552 | NGC 7742
What are the caves with a depth of at least 3.1km ?,Krubera-Voronja Cave | Sarma cave | Gouffre Mirolda | Gouffre Jean-Bernard | Chevé Cave | Čehi 2 | Boybuloq | Siebenhengste-Hohgant-Höhle | Gouffre Berger
What are geothermal power station with a capacity of at least 10 Mw ?,Cerro Prieto | Coso | Darajat | The Geysers | Hatchōbaru | Hellisheiði | Imperial Valley | Kawerau | Krafla | Malitbog | Mammoth | McGinness Hills | Mutnovskaya | Nesjavellir | Nga Awa Purua | Ngatamariki | Ohaaki | Pauzhetskaya | Poihipi | Puna | Reykjanes | San Emidio | Svartsengi | Te Huka | Te Mihi | Wairakei | Wayang Windu
What are all the sumo stables ?,Araiso | Arashio | Asahiyama | Asakayama | Dewanoumi | Fujishima | Futagoyama | Hakkaku | Irumagawa | Isegahama | Isenoumi | Kasugano | Kataonami | Kise | Kokonoe | Michinoku | Minato | Miyagino | Naruto | Nishiiwa | Nishikido | Nishonoseki | Oguruma | Oitekaze | Onoe | o Ōnomatsu | o Ōtake | Sadogatake | Sakaigawa | Shibatayama | Shikihide | Shikoroyama | Tagonoura | Takadagawa | Takasago | Tamanoi | Tatsunami | Tokitsukaze | Tokiwayama | Tomozuna | Yamahibiki
What are the tunnels with a length larger than 13 km ?,"Gotthard Base Tunnel | Seikan Tunnel | Channel Tunnel | Yulhyeon Tunnel | Lötschberg Base Tunnel | New Guanjiao Tunnel 新关角隧道 | Guadarrama Tunnel | West Qinling Tunnel 西秦岭隧道 | Taihang Tunnel 太行山隧道 | Hakkōda Tunnel | Iwate-Ichinohe Tunnel | Wushaoling Tunnel 乌鞘岭隧道 | Simplon, 2 tubes | Vereina | Apennine Base Tunnel | Mount Macdonald Tunnel | Fréjus | [[Mont dAmbin Base Tunnel]] https://www.telt-sas.com/en/the-first-9-km-of-the-base-tunnel-completed/ | Brenner Base Tunnel | Gaoligongshan Tunnel 高黎贡山隧道 | Koralm Tunnel | Oshima Tunnel | Blix Tunnel"
Which weapons are of the type battle riffles ?,AVS-36 | CETME rifle | Desert Tech MDR | FM57 rifle | FN FAL | FN SCAR-H | Gewehr 41 | GRAM 63 battle rifle | Howa Type 64 | IWI ACE 52 | L1A1 Self-Loading Rifle | M1918 Browning Automatic Rifle | M1 Garand | M14 rifle | Madsen LAR | Mk 14 Enhanced Battle Rifle | Model 45A | SIG SG 510 | SIG SG 542 | SLEM-1 | SVT-40 | T48 rifle | Zastava M77 B1
What awards are national quality award ?,Canada Awards for Excellence | Deming Prize | EFQM Excellence Award | Malcolm Baldrige National Quality Award | Philippine Quality Award | Rajiv Gandhi National Quality Award | Singapore Business Excellence Awards | Thailand Quality Award
What are the giant sequoias with a trunk volume larger than 912.5 cubic meters ?,General Sherman | General Grant | President | Lincoln | Stagg | Boole | Genesis | King Arthur | Robert E. Lee | Ishi Giant | Washington | Adam | Nelder | Above Diamond (AD) | Hart | Grizzly Giant | Methuselah
What are the protected areas with an area larger than 250000 km squared ?,Marae Moana | Papahānaumokuākea Marine National Monument | Natural Park of the Coral Sea | Coral Sea Marine Park | Northeast Greenland National Park | British Indian Ocean Territory Marine Protected Area | Phoenix Islands Protected Area | Great Barrier Reef Marine Park | Tuvaijuittuq Marine Protected Area
Which weapons are of the type bolt action riffle ?,35M rifle | Accuracy International AWM | Arisaka Type 30 | Arisaka Type 38 | Arisaka Type 99 | Berdan rifle | Berthier rifle | BMS Cam rifle | Browning A-Bolt | Carcano | Dreyse needle gun | FN Model 24 | Gewehr 1888 | Gewehr 98 | Hanyang 88 | IOF .30-06 sporting rifle | Ishapore 2A1 rifle | Jungle Carbine | K31 | Karabiner 98k | Krag–Jørgensen | Lebel 1886 rifle | Mannlicher M1886 | Mannlicher M1888 | Mannlicher M1895 | Mannlicher–Schönauer | Mosin–Nagant | Mossberg MVP | Murata rifle | Remington Model 700 | Ross rifle | Ruger American | Ruger M77 | SIG Sauer 200 STR | Steyr Scout | Voere S16 [https://www.all4shooters.com/en/hunting/rifles/voere-k15a-small-caliber-s16-bolt-action-features/ New rifles by Voere: S16 and K15A | all4shooters] | Winchester Model 70
What military medals are the highest medal in a country ?,Cross to the Heroic Valour in Combat | The Victoria Cross for Australia | The Victoria Cross of Canada | The Valour Cross | The Legion of Honour | The Cross of Honour for Valour | Param Vir Chakra | Medal of Valor | Military Medal | The Victoria Cross for New Zealand | The War Cross with Sword | Order of Virtuti Militari | Hero of the Russian Federation | Order of St. George | Laureate Cross of Saint Ferdinand | The Victoria Cross | Medal of Honor | The Gold Cross of Zimbabwe
Who is or was a member of the 10cc band ?,"Graham Gouldman | Paul Burgess | Rick Fenn | Eric Stewart | Laurence ""Lol"" Creme | [[Tony OMalley (musician)|Tony OMalley]] | Vic Emerson | Gary Wallis | Mike Stevens"
What are the different professional wrestling streaming services ?,FITE TV https://www.fite.tv/join/ | Honor Club | IMPACT Plus | New Japan Pro-Wrestling World | WWE Network
Which weapons are of the type carbines ?,"AK-104 | Amogh carbine | Burnside carbine | CETME Model LC carbine | Colt Model 1839 Carbine | De Lisle carbine | G13 carbine | ""Jungle Carbine"" (Lee–Enfield, Rifle No. 5 Mk I) | K31 | Karabiner 98k | M1 carbine | M4 carbine | Maynard carbine | Mosin–Nagant (M1907 Carbine) | Mosin–Nagant (M1938 Carbine) | Mosin–Nagant (M1944 Carbine) | Mosin–Nagant (M1891/59 Carbine) | QBZ-95B | SG 443 Carbine | SKS | Stoner 63/63A Carbine | Swiss Mannlicher M1893 Carbine | Type 44 carbine"
Which titles are used by current presidents of legislatures ?,Speaker | Chairman | Cathaoirleach | President | Presidents The European President of the Council of Ministers rotates every six months.
