question,gold_answer,KG answer,taxonomy_label,method,source,cause
who has been appointed as the election commissioner of india,Om Prakash Rawat,Sushil Chandra|Rajiv Kumar|Achal Kumar Jyoti|Om Prakash Rawat|...|Nagendra Singh|Sukumar Sen|Syed Nasim Ahmad Zaidi|T. S. Krishnamurthy|T. Swaminathan,Higher accuracy in KG than in Table,Simple heuristics,SimpleQA/NQ_table_test_simple/00274.json,long answer
who has been appointed as the election commissioner of india,Om Prakash Rawat,Sushil Chandra|Rajiv Kumar|Achal Kumar Jyoti|Om Prakash Rawat|T. N. Seshan|...|Nagendra Singh|Sukumar Sen|Syed Nasim Ahmad Zaidi|T. S. Krishnamurthy|T. Swaminathan,Higher accuracy in KG than in Table,Simple heuristics,SimpleQA/NQ_table_test_simple/00273.json,long answer
What is the name of the actor who played the lead role in the series Joey,Matt LeBlanc,Miguel A. Núñez|Paulo Costanzo|Gregory Harrison|Christina Ricci|Matt LeBlanc|...|Michael Trucco|Bobb'e J. Thompson|Danny Nucci|James Lipton|John Michael Higgins,Higher accuracy in KG than in Table,Simple heuristics,ComplexQA/CompMix_infobox_complex/00037.json,long answer
What is the name of the actor who played the lead character role in the Bourne series,Matt Damon,Orso Maria Guerrini|Philippe Durand|Denis Braccini|Matt Damon|Clive Owen|...|Franka Potente|Vincent Franklin|Jimmy Jean-Louis|David Bamber|Gabriel Mann,Higher accuracy in KG than in Table,Simple heuristics,ComplexQA/CompMix_infobox_complex/00019.json,long answer
who is the supreme justice of the supreme court,John Roberts,John Roberts|Morrison Waite|Roy Ashland|John Marshall|John Jay|...|Oliver Ellsworth|Bart Simpson|Edward Douglass White Jr.|Harlan F. Stone|Melville Fuller,Higher accuracy in KG than in Table,Simple heuristics,SimpleQA/NQ_table_test_simple/00387.json,long answer
who played santa in the santa clause movies,Tim Allen,Tim Allen|Chris Benson|Todd Davis|Brian Reilly|Wendy Crewson|...|Jesse Collins|Joyce Guy|Kerrigan Mahan|Nina Keogh|Scott Wickware,Higher accuracy in KG than in Table,Simple heuristics,SimpleQA/NQ_table_test_simple/00888.json,long answer
who sings the songs in crazy ex girlfriend,Rachel Bloom,Rachel Bloom|Skylar Astin|Vincent Rodriguez III|Gabrielle Ruiz|Pete Gardner|...|David Hull|Paul Welsh|Donna Lynne Champlin|Scott Michael Foster|Santino Fontana,Higher accuracy in KG than in Table,Simple heuristics,SimpleQA/NQ_table_test_simple/00641.json,long answer
"In which 1995 action thriller movie did Antonio Banderas play an assassin, Miguel Bain",Assassins,Four Rooms|Two Much|Desperado|...|Never Talk to Strangers|Assassins|Miami Rhapsody,Higher accuracy in KG than in Table,Simple heuristics,ComplexQA/CompMix_table_complex/00118.json,long answer
What is the country of citizenship of the player Harry Kane,United Kingdom,United Kingdom|Amatnhom Mäcŋaknhom|Ama-ubọọn̄ Mgbambọp|an Ríocht Aontaithe|Apvienotā Karaliste|Ari na Unido|...|英國,Higher accuracy in KG than in Table,Simple heuristics,ComplexQA/CompMix_infobox_complex/00242.json,long answer
when did the cubs won a world series,2016,2025-04-12T00:00:00Z|2026-03-04T00:00:00Z|2026-03-05T00:00:00Z|2026-03-07T00:00:00Z|2026-03-11T00:00:00Z|...|1907-01-01T00:00:00Z|2016-01-01T00:00:00Z|1908-01-01T00:00:00Z,Higher accuracy in KG than in Table,Simple heuristics,SimpleQA/NQ_table_test_simple/00965.json,long answer
