question,gold_answer,result_cleaned,result,sparql
What was Bob Bradley's previous job before he took the job as the head coach of the United States men's national soccer team,Head coach of Chivas USA,"sporting director
association football coach","| occupation                              |
| --------------------------------------- |
| sporting director (wd:Q1130252)         |
| association football coach (wd:Q628099) |","SELECT ?occupation WHERE {
  wd:Q442325 wdt:P106 ?occupation
}"
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels,Jim Parsons,,,"SELECT ?actor WHERE {
  ?actor wdt:P161 wd:Q8539 .
  ?actor wdt:P161 wd:Q959876
}"
Who is the director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,"| director                    |
| --------------------------- |
| Gore Verbinski (wd:Q295463) |","SELECT ?director WHERE {
  wd:Q46717 wdt:P57 ?director
}"
What is the name of the football player who won the player of the season title in 2021 for Barnsley F.C,Michał Helik,,,
In which year did the American sitcom series Will & Grace return for another three seasons after ending in 2006,2017,,,"SELECT ?returnTime ?returnLabel WHERE {
  wd:Q212135 wdt:P580 ?returnTime .
  ?returnTime rdfs:label ?returnLabel .
  FILTER(LANG(?returnLabel) = 'en')
}"
What year did the American sitcom series Will & Grace return for three more seasons after the original run ended,2017,,,"SELECT ?season ?start_time WHERE {
  wd:Q212135 wdt:P580 ?start_time .
  ?season wdt:P580 ?start_time .
  ?season wdt:P31 wd:Q3730552
}"
Which player was awarded the most number of Man of the match titles in the FIFA world cup of 2006,Andrea Pirlo,,,"SELECT ?player ?playerLabel ?matches WHERE {
  ?player wdt:P1923 wd:Q37285 .
  ?player wdt:P3279 ?stat .
  ?player rdfs:label ?playerLabel .
  ?matches wdt:P585 ""2006-06-09"" ^^ xsd:date .
}
LIMIT 10"
How many movies were in the Die Hard series before A Good Day to Die Hard came out in 2013,4,,,"SELECT(COUNT(?film) AS ?count) WHERE {
  ?film wdt:P571 ?releaseYear .
  ?film wdt:P1810 ?series .
  ?series wdtd:P571 wd:Q2716420 .
  FILTER(?releaseYear < '2013-01-01' ^^ xsd:date)
}"
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold,6,,,SELECT COUNT(*) WHERE { ?novel wdt:P170 wd:Q209641 . ?novel wdt:P1441 wd:Q2335880 . }
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011,1,,,
"When was the original version of the song I am not a woman, I’m a god released in USA","August 31, 2021",,,"SELECT ?song ?releaseDate WHERE {
  wd:Q108822278 wdt:P577 ?releaseDate .
}"
According to the 11 Nov 2021 result who called the most capped player in Brazil Nation Football Team,Cafu,"Bud Holloway|1.0
Bud Rose|1.0
Bud Sennett|1.0
Bud Poile|311.0
1941–42 Cupa României|23.0
...|...
2015 ST600 All Japan Road Race Championship|7.0
2016 ST600 All Japan Road Race Championship|7.0
1976 Intertoto Cup|132.0
Ricardo Tavarelli|1.0
Marián Cisár|73.0","| player                                                     | max_caps            |
| ---------------------------------------------------------- | ------------------- |
| Bud Holloway (wd:Q1000509)                                 | 1.0 (xsd:decimal)   |
| Bud Rose (wd:Q1000528)                                     | 1.0 (xsd:decimal)   |
| Bud Sennett (wd:Q1000539)                                  | 1.0 (xsd:decimal)   |
| Bud Poile (wd:Q1000556)                                    | 311.0 (xsd:decimal) |
| 1941–42 Cupa României (wd:Q1000594)                        | 23.0 (xsd:decimal)  |
| ...                                                        | ...                 |
| 2015 ST600 All Japan Road Race Championship (wd:Q99965824) | 7.0 (xsd:decimal)   |
| 2016 ST600 All Japan Road Race Championship (wd:Q99967655) | 7.0 (xsd:decimal)   |
| 1976 Intertoto Cup (wd:Q999694)                            | 132.0 (xsd:decimal) |
| Ricardo Tavarelli (wd:Q999718)                             | 1.0 (xsd:decimal)   |
| Marián Cisár (wd:Q999748)                                  | 73.0 (xsd:decimal)  |","SELECT ?player(MAX(?caps) AS ?max_caps) WHERE {
  ?player wdt:P1350 ?caps .
}
GROUP BY ?player"
"What is the name of the ghostwriter of the first book in the Hardy Boys series, The Tower Treasure",Leslie McFarlane,,,"SELECT ?book WHERE {
  ?book wdt:P31 wd:Q23541148
}"
What is the total number of appearances made by Marco Reus as of 2021 for the club Borussia Dortmund,332,,,"SELECT ?appearance WHERE {
  wd:Q152377 wdt:P1350 ?appearance
}"
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series",4,,,"SELECT ?movie ?publicationDate WHERE {
  ?movie wdt:P136 wd:Q105598 .
  ?movie wdt:P577 ?publicationDate .
  FILTER(?publicationDate < ""2013-01-01"" ^^ xsd:gYear)
}"
What is the name of the book that comes after the book Killing Floor in the Jack Reacher series,Die Trying,,,"SELECT ?book WHERE {
  wd:Q590252 ?p ?book .
}"
"What year was it on Earth in the last novel of The Chronicles of Narnia series, The Last Battle",1949,,,"SELECT ?publicationDate WHERE {
  wd:Q289130 wdt:P577 ?publicationDate
}"
How many goals did Pat Healey make in the 2008 season when he was playing for Crystal Palace Baltimore,8,,,"SELECT ?player ?team ?season WHERE {
  ?player wdt:P54 ?team .
  ?team wdt:P5138 ?season .
  ?player wdt:P1351 ?goals
}"
Who is the character that Robin ends up marrying in the last season of How I Met Your Mother,Barney Stinson,Lily Aldrin,"| spouse                    |
| ------------------------- |
| Lily Aldrin (wd:Q2337146) |","SELECT ?spouse WHERE {
  wd:Q1081532 wdt:P26 ?spouse .
}"
"What is the name of the first episode of the first season of the series, Buffy the Vampire Slayer",Welcome to the Hellmouth,,,"SELECT ?episodeLabel WHERE {
  wd:Q183513 wdt:P1811 wd:Q934759 .
  wd:Q934759 wdt:P1811 ?episode .
  ?episode rdfs:label ?episodeLabel .
  FILTER(CONTAINS(STR(?episodeLabel) , ""Buffy""))
}"
Which 2009 first person shooter game did Lance Henriksen who was Frank Black in Millennium did voice work for,Call of Duty: Modern Warfare 2,,,"SELECT ?game ?genre WHERE {
  ?game wdt:P136 ?genre .
  ?game wdt:P577 ""2009"" @en .
}"
What were the demographics of black people in Memphis Tennessee when If Beale Street Could Talk was written,38.9%,,,SELECT ?subject ?publicationDate WHERE { ?subject wdt:P577 ?publicationDate . } FILTER (str(?subject) = 'If Beale Street Could Talk (wd:Q15052484)')
What is the name of the 2012 movie that fetched Meryl Streep an Oscar for the best actress,The Iron Lady,,,"SELECT ?film WHERE { wd:Q873 wdt:P166 ?award . ?award wdt:P18 ?film . ?award rdfs:label ?awardLabel . FILTER(CONTAINS(LOWER(?awardLabel), ""best actress"")) }"
When was released the song I'm Your Angel in United States in the format of Contemporary hit radio,13 October 1998,1998-11-09T00:00:00Z,"| releaseDate                         |
| ----------------------------------- |
| 1998-11-09T00:00:00Z (xsd:dateTime) |","SELECT ?releaseDate WHERE {
  wd:Q4922282 wdt:P577 ?releaseDate
}"
What is the name of the actress who won the Academy Award in 2014 instead of Sandra Bullock,Cate Blanchett,,,
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,"| director                    |
| --------------------------- |
| Gore Verbinski (wd:Q295463) |","SELECT ?director WHERE {
  wd:Q46717 wdt:P57 ?director .
}"
The American goalkeeper Sean Johnson played how many game for the US men's national soccer team in 2011,1,,,
Who is the screenwriter  of the second part Dead Man's Chest in the flim Pirates of the Caribbean,Terry Rossio,"Terry Rossio
Ted Elliott","| screenwriter              |
| ------------------------- |
| Terry Rossio (wd:Q942914) |
| Ted Elliott (wd:Q943506)  |","SELECT ?screenwriter WHERE {
  wd:Q161087 wdt:P58 ?screenwriter
}"
When was the song Easy on Me released in United States in the format of Adult contemporary radio,18 October 2021,2021-10-15T00:00:00Z,"| releaseDate                         |
| ----------------------------------- |
| 2021-10-15T00:00:00Z (xsd:dateTime) |","SELECT ?releaseDate WHERE {
  wd:Q108805763 wdt:P577 ?releaseDate
}"
"Who was the head coach for CF Montréal soccer team from August 10, 2011 to November 3, 2012",Jesse Marsch,,,"SELECT ?coach WHERE {
  wd:Q167615 wdt:P286 ?coach
}"
What is the FIFA organization that was founded in Mexico City and currently includes all of North America,CONCACAF,,,"SELECT ?organization WHERE {
  ?organization wdt:P740 wd:Q1489 .
  ?organization wdt:P131 wd:Q15050832
}"
What is the name of the model who won the first cycle of America's Next Top Model,Adrianne Curry,Eva Marcille,"| winner                    |
| ------------------------- |
| Eva Marcille (wd:Q269485) |","SELECT ?winner WHERE {
  wd:Q2623676 wdt:P1346 ?winner
}"
What is the name of the movie released in 2004 did the singer Chris Martin appear in,Shaun of the Dead,,,"SELECT ?movie WHERE {
  wd:Q712860 wd:Q45188 ?movie .
}"
What is the name of the football club that Oliver Kahn played for in the year 2001,FC Bayern Munich,"Karlsruher SC
FC Bayern Munich
Karlsruher SC II
Germany men's national association football team","| club                                                         |
| ------------------------------------------------------------ |
| Karlsruher SC (wd:Q105853)                                   |
| FC Bayern Munich (wd:Q15789)                                 |
| Karlsruher SC II (wd:Q18704184)                              |
| Germany men's national association football team (wd:Q43310) |","SELECT ?club WHERE {
  wd:Q131261 wdt:P54 ?club
}"
"Who is the screen writer of The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Christopher Markus,"Ann Peacock
Andrew Adamson
Christopher Markus
Stephen McFeely","| screenwriter                     |
| -------------------------------- |
| Ann Peacock (wd:Q12912984)       |
| Andrew Adamson (wd:Q432845)      |
| Christopher Markus (wd:Q5112818) |
| Stephen McFeely (wd:Q5933887)    |","SELECT ?screenwriter WHERE {
  wd:Q485803 wdt:P58 ?screenwriter
}"
