file_name,invalid_label
00003.json,sparql_execution_failed (preprocessing)
00004.json,null_output
00009.json,sparql_execution_failed (preprocessing)
00034.json,null_output
00041.json,sparql_execution_failed (execution)
00054.json,null_output
00064.json,null_output
00069.json,sparql_execution_failed (preprocessing)
00070.json,null_output
00071.json,sparql_execution_failed (preprocessing)
00080.json,null_output
00082.json,no_sparql_generated
00084.json,null_output
00091.json,sparql_execution_failed (preprocessing)
00096.json,sparql_execution_failed (execution)
00098.json,null_output
00111.json,null_output
00116.json,null_output
00119.json,sparql_execution_failed (execution)
00145.json,null_output
00153.json,no_sparql_generated
00158.json,sparql_execution_failed (preprocessing)
00172.json,null_output
00181.json,sparql_execution_failed (preprocessing)
00190.json,no_sparql_generated
00194.json,sparql_execution_failed (execution)
00197.json,no_sparql_generated
00213.json,null_output
00222.json,sparql_execution_failed (execution)
00223.json,sparql_execution_failed (execution)
00238.json,sparql_execution_failed (execution)
00245.json,null_output
00250.json,sparql_execution_failed (preprocessing)
00258.json,null_output
00274.json,null_output
00289.json,no_sparql_generated
00316.json,sparql_execution_failed (preprocessing)
00320.json,sparql_execution_failed (preprocessing)
