question,answer,gold evidence type
"For the snooker players who participated in the 2002 Masters, sort them by their highest career ranking (lowest number first), and then by the number of Masters titles they had won by the end of the 2001/02 season (highest number first). How many Masters titles had the third player in this sorted list won by the end of the 2001/02 season?",0,"{""table"": 8}"
Sort the Australian rules football clubs that were competing in the Victorian Football League in 1913 or 1944 by their total number of Victorian Football League or Australian Football League Grand Final losses from fewest to most. What is the number of Grand Final losses for the club that ranks second in this sorted list?,13,"{""text"": 4, ""table"": 3}"
"Consider the number of rounds listed for drivers in the 2002 season who did not participate in all races, along with the number of rounds listed for practice drivers in the 2003 season. Sort these numbers from lowest to highest. What is the number at the eighth position in the sorted list?",5,"{""table"": 2}"
Sort the people who worked for the Brentford football club and were born in or before 1956 by their birth year from oldest to youngest. What is the sum of the number of seasons the person who ranks second managed the club and the total appearances for the club by the player born in 1979?,108,"{""infobox"": 1, ""text"": 3, ""table"": 1}"
"How many games involving the St. Louis Cardinals are summarized across the game results for the 1982 National League Championship Series, 2006 National League Championship Series, 2011 World Series, 2013 National League Championship Series, and 2011 National League Championship Series?",29,"{""table"": 5, ""text"": 3}"
"Among the Melbourne-based Australian rules football teams Essendon, Hawthorn, Richmond, and Collingwood, sort them by the year of their most recent Grand Final appearance mentioned in the evidence from earliest to latest. What year does the second team in this sorted list belong to?",2015,"{""text"": 4, ""table"": 2}"
"Sort the games played between the Los Angeles Dodgers and Philadelphia Phillies in the National League Championship Series for the years 1977, 1978, 2008, and 2009 by duration from shortest to longest. What was the attendance of the game with the fifth shortest duration?",45839,"{""table"": 4, ""text"": 4}"
"Sort the teams that have played against Collingwood in a Grand Final by the year of their first Grand Final appearance against Collingwood, from earliest to latest. What was the year of the first Grand Final against Collingwood for the team ranked fourth in this list?",1926,"{""text"": 5, ""table"": 2}"
"Sort the players who participated in the 2002 Masters snooker competition by their year of birth from oldest to youngest, and then alphabetically by last name for those with the same year of birth. What is the year of birth of the sixth player in this sorted list?",1974,"{""text"": 9, ""table"": 6}"
Sort the attendance figures for all games played between the Pittsburgh Pirates and the Cincinnati Reds in the National League Championship Series from 1972 through 1979 from highest to lowest. What is the attendance figure for the fifth game in this sorted list?,52420,"{""table"": 3, ""text"": 3}"
"Sort all games played between the Los Angeles Dodgers and the Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series by game duration from longest to shortest. What was the duration in minutes of the third longest game?",224,"{""table"": 4, ""text"": 4}"
"Sort all games played between the Los Angeles Dodgers and Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series by game duration from shortest to longest. What was the duration in minutes of the fifth shortest game?",156,"{""table"": 4, ""text"": 4}"
"What was the attendance figure for the game ranked third when sorting all games played between the Los Angeles Dodgers and Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series by attendance from highest to lowest?",63460,"{""table"": 4}"
Sort the duration of games the St. Louis Cardinals played in the 1982 National League Championship Series and the 2013 National League Championship Series from shortest to longest. What is the duration in minutes of the third game in this sorted list?,166,"{""table"": 2, ""text"": 2}"
"Considering the 2000 Louis Vuitton Cup, 2000 America's Cup, 2011 Extreme Sailing Series, 2021 Prada Cup, and 2021 America's Cup, what is the difference between the number of events won by Luna Rossa and the number of events won by Team New Zealand?",1,"{""table"": 1, ""infobox"": 1, ""text"": 3}"
"Sort the attendance figures from all games played between the Los Angeles Dodgers and Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series from highest to lowest. What is the third highest attendance figure?",63460,"{""table"": 4}"
Sort the people who worked for Brentford and were born on or before 1956 by their birth year from oldest to youngest. How many people in this sorted list have a total career appearances count listed in the table detailing Paul Smith's statistics?,0,"{""text"": 6, ""infobox"": 1, ""table"": 1}"
Sort the National League Championship Series between the Philadelphia Phillies and the Los Angeles Dodgers by the total number of games played in descending order. What was the total number of games played in the third series in this sorted list?,4,"{""table"": 4}"
Sort the National League Championship Series contested by the Los Angeles Dodgers and the Philadelphia Phillies by their total attendance from highest to lowest. What was the total attendance for the series that ranks second in this sorted list?,260092,"{""table"": 4, ""text"": 5}"
"Sort the number of rounds participated by Franck Montagny, Anthony Davidson, Gianmaria Bruni, the Arrows drivers, Allan McNish, and Felipe Massa as listed in the provided data from lowest to highest. What is the fifth number in this sorted list?",15,"{""table"": 2, ""text"": 2}"
"Sort the St. Louis Cardinals' winning playoff series by the total number of games played from highest to lowest, using the year as a tiebreaker from most recent to earliest. What is the number of games played in the series ranked second?",7,"{""table"": 5, ""text"": 3}"
"When sorting the National League Championship Series contested by both the Los Angeles Dodgers and the Philadelphia Phillies by total attendance from lowest to highest, what was the total attendance for the second series in that ranking?",240584,"{""text"": 4, ""table"": 4}"
"Among games won by the Boston Red Sox in the 1975 and 2013 American League Championship Series and the 2018 World Series, sort the attendance figures from lowest to highest. What is the second attendance number in this sorted list?",35578,"{""table"": 3, ""text"": 3}"
"Sort all games from the 2018 World Series, 2013 American League Championship Series, and 1975 American League Championship Series by attendance from highest to lowest. What was the attendance of the third game in this sorted list?",53114,"{""table"": 3}"
"What was the highest attendance recorded for any single game played by the Boston Red Sox during their winning 2018 World Series, 2013 American League Championship Series, or 1975 American League Championship Series appearances?",54400,"{""table"": 3, ""infobox"": 3}"
"What was the greatest margin of victory or defeat in any single game played by the Boston Red Sox during their 1975 American League Championship Series, 2013 American League Championship Series, or 2018 World Series appearances?",6,"{""table"": 3}"
"Sort the number of senior premierships won by Collingwood, Richmond, Essendon, St Kilda, and Port Adelaide in the main Australian rules football competition from lowest to highest. What is the third number in this sorted list?",13,"{""table"": 2, ""text"": 6}"
Sort the game times for all National League Championship Series games played between the Los Angeles Dodgers and the Philadelphia Phillies after 1978 from shortest to longest. What is the third shortest game time in minutes?,185,"{""table"": 2, ""text"": 2}"
Sort the game durations in minutes for the National League Championship Series games between the Los Angeles Dodgers and the Philadelphia Phillies from shortest to longest. What is the duration of the second shortest game?,134,"{""table"": 4, ""text"": 4}"
Sort the Boston Red Sox competition victories (with a start time of 2018 or earlier) by the attendance of Game 1 from highest to lowest. What was the attendance of Game 1 for the competition that ranks second in this list?,38210,"{""infobox"": 3, ""table"": 3}"
"Among Kamilla Rytter Juhl, Zhao Yunlei, Christinna Pedersen, Tian Qing, Yu Yang, and Eom Hye-won, sort the number of BWF Superseries events won in 2013 from highest to lowest. What is the second number in this sorted list?",4,"{""table"": 7, ""text"": 4}"
What was the difference in the number of races between the Formula One season with the most Grands Prix and the season with the fewest Grands Prix during the years Lewis Hamilton and Mercedes won the championship together?,2,"{""text"": 6, ""table"": 2}"
"How many games involving the St. Louis Cardinals were played at Busch Stadium or Busch Stadium (II) across their 1982, 2006, and 2013 National League Championship Series appearances and their 2011 World Series appearance?",12,"{""table"": 4, ""text"": 4}"
"Among the Canadian Grand Prix qualifying sessions where Lewis Hamilton achieved pole position, sort the sessions by his Q3 time from fastest to slowest. What is the year of the race that ranks second in this sorted list?",2015,"{""table"": 2, ""text"": 2}"
What is the difference between the number of games the St. Louis Cardinals won at Busch Stadium in the 2011 World Series and the number of games they won at Busch Stadium in the 2011 National League Championship Series?,1,"{""text"": 1, ""table"": 2}"
"Sort the attendance figures for all games played by the St. Louis Cardinals in the 1982 NLCS, 2006 NLCS, 2011 World Series, 2013 NLCS, and 2011 NLCS from highest to lowest. What is the fifth highest attendance figure?",53992,"{""table"": 5}"
"What is the total number of games played by the St. Louis Cardinals across the 1982, 2006, 2011, and 2013 National League Championship Series, and the 2011 World Series, based on the game-by-game summaries available?",29,"{""table"": 5}"
Sort the Melbourne-based teams that were competitors in a Grand Final won by Geelong by their total number of senior premierships from highest to lowest. What is the number of premierships for the team ranked second?,15,"{""table"": 2, ""text"": 4}"
