question,answer
for how many years since 1999 has Tom Cruise been in two or more movies in the same year?,[3]
Is the National Dish of Algeria Keto diet friendly?,[False]
Did Timbaland produce any record albums for non-R&B artists?,[True]
Who was the second oldest player to lead the NBA in scoring?,['Stephen Curry']
"Considering the actors that portrayed the MCU Avengers in Endgame, was any of them ever married to someone outside of the film industry?",[True]
For how many years have Presidents of Italy ever been affiliated with a left leaning party?,[28.963]
Which right-wing party won the most votes in Uruguay's most recent election?,['National Party']
Have there been more female Futurist painters than Precisionist ones?,[True]
Has Klaus Kinski been in more movies directed by Werner Herzog than John Wayne was in John Ford films?,[False]
How many of the first ten winners of The Voice were female?,[4]
What was the most recent movie in the Western genre to win the Academy Award for Best Picture?,['No Country for Old Men']
How many academy award winners for best female actress were born in a non-English speaking country?,[11]
Who was the first Ottoman sultan to die in battle and who was the last?,"['Murad I', 'Musa Çelebi']"
which dynasty ruled the longest during the late Roman Empire?,['Palaiologan dynasty']
What percentage of Shakespeare's plays have at least one scene that takes place in England?,[43.58974358974359]
How many times since 2000 have the NBA finals ended in four games?,[3]
How many World Series did Bud Selig preside over?,[21]
Does Albania have a higher GDP per capita than any of the countries that border it?,[False]
How many wars was Oman part of between 1700 and 1900 ?,[4]
how many heirs did Sam Walton have?,[4]
who was the CEO of Microsoft when the original Xbox was released?,['Steve Ballmer']
What percentage of governors in the United States are women?,[24.0]
Which winners of the Oscar for best director from 1995-2020 were born in New York city?,['Martin Scorsese']
What percentage of battles in the American Civil War were fought outside of the territory of the Confederate States?,[25.106382978723403]
Which NFL teams won at least 9 games in all regular seasons from 2018 to 2022?,['Kansas City Chiefs']
Kyler Murray or cam newton had more rushing touchdowns as a rookie?,['Cam Newton']
Which teammate of Kobe Bryant holds the highest career point average?,"['Malone, Karl']"
Does a banana have more fat than an avocado?,['No']
"Which South American country has the largest population of Polish descent, by percentage of its total population?",['Brazil']
"Has South Sudan had more than 400,000 civilians killed during military conflicts in the 21st century?",[True]
Which Latin American country had the highest body mass index (BMI)?,['Mexico']
What percentage of currently-existing monarchies are parliamentary democracies?,[67.44186046511628]
How many seasons of Game of Thrones had an episode written by George R.R. Martin?,[4]
"When talking about children of US presidents in the second half of the twentieth century, were there more politicians than businessmen?",[False]
Which Bachelor winners have actually resulted in marriages that lasted more than 2 years with the actual Bachelor who chose them on tv?,['Catherine Giudici']
What percentage of Oscar winning actors and actresses has had at least one divorce?,[60.95238095238095]
"What percentage of European Union member states were never controlled, in whole or in part, by the Roman Empire?",[29.62962962962963]
Which wars in Ethiopia during the 19th century were internal conflicts between rival dynasties?,['Zemene Mesafint']
Do any of Philip Roth's novel's feature a woman as its main character?,[True]
How many homeruns did Barry Bonds hit when he won his last regular season MVP award?,['45']
What percentage of the time was the Oscar winner for Best Actress older than the Oscar winner for Best Actor over the past thirty years?,[33.333333333333336]
"From 1990-2020, how many times has the US Senate majority flipped to the other party?",[5]
Which country is home to the most recipients of the Nobel Prize for Literature in the 21st century?,['France']
How many of Ingmar Bergman's films portray an unhappy marriage?,[26]
What percentage of Japanese Shoguns ended up committing suicide?,[7.142857142857143]
Were Hideyoshi and Date Masamune born during the same historical period in Japan?,['Yes']
Which European country's government currently has the highest proportion of women in ministerial positions?,['Albania']
What is the average weight of Super Bowl-winning defensive tackles since 2010?,[149.71589076923078]
Which racial group in Cuba has seen the greatest growth proportionally over the last five census?,['White']
Which year since 1960 saw the greatest increase in voter turnout for a US Presidential election over the previous election and who was its winner?,"['2020', 'Joe Biden']"
What is the median age of male Oscar winning directors compared to female directors at the year of first winning the award?,"[44.0, 49.0]"
"Was there ever a Swedish King or Queen Regent who have been married more than three times? If so, please list their names",['None']
Which female artist has won the most Album of the Year Grammy awards since 2005?,['Taylor Swift']
Which decade saw the introduction of the greatest number of female superheroes in both Marvel and DC comics combined?,['1980s']
What percentage of Emmy Award winning shows for Outstanding drama from 2010-2022 were won by shows about royal families?,[38.46153846153846]
What is the difference between the average life expectancy in the ten countries with the lowest GDP and the ten countries with the highest GDP?,[-13.821222222222218]
Which premier league team has the most South American born players?,['Aston Villa']
How many times since the 1980s was a former NBA #1 draft pick released or traded by the team that selected him after  his first year of playing with the team?,[3]
Is HBO's Euphoria more similar to the U.K. show Skins or the U.K. version of The Office?,['Skins']
"Which poll, held the day before the 2021 Canadian federal election, had the smallest prediction error compared to the actual election results?",['Mainstreet Research']
"What were the career averages of Michael Jordan in points, rebounds and assists in his first three seasons compared to his last three in the NBA?","[29.333333333333332, 5.733333333333333, 4.466666666666667, 23.866666666666667, 5.866666666666666, 4.166666666666667]"
"In EU countries, do right wing parties tend to have more women leaders than left wing parties?",[False]
Have more Australians won the French open singles than Americans (men and women)?,['no']
What percentage of European countries were once conquered by Turkish tribes throughout their history?,[41.17647058823529]
Which country outside of the OECD has the highest HDI?,['Singapore']
who are the top executives in charge of managing theme parks for Disney?,"[""Josh D'Amaro""]"
How many more carbohydrates do 100g of chocolate ice cream have compared to 100g of sliced peach?,[18.2]
"If Menorca and Mallorca were considered as one, how would their combined population rank against that of Sicily, Corsica, the island of Cyprus, and Crete?","[False, True, False, True]"
how many novels that are set outside of America have won a Pulitzer Prize for Fiction since 2013?,[1]
How many games does the Tekken franchise have?,[11]
Which of the current Big 13 tech firms has the youngest CEO?,['Meta']
Are more than a third of posts in Italy's cabinet headed by women?,[False]
