file_name,invalid_label
00303.json,null_output
00307.json,sparql_execution_failed (execution)
00308.json,sparql_execution_failed (preprocessing)
00309.json,no_sparql_generated
00313.json,sparql_execution_failed (execution)
00315.json,sparql_execution_failed (execution)
00316.json,sparql_execution_failed (execution)
00317.json,sparql_execution_failed (execution)
00321.json,sparql_execution_failed (preprocessing)
00324.json,null_output
00326.json,null_output
00339.json,sparql_execution_failed (preprocessing)
00343.json,sparql_execution_failed (preprocessing)
00355.json,null_output
00358.json,null_output
00359.json,sparql_execution_failed (execution)
00364.json,null_output
00374.json,sparql_execution_failed (execution)
00375.json,null_output
00378.json,null_output
00390.json,null_output
00400.json,sparql_execution_failed (preprocessing)
00416.json,sparql_execution_failed (preprocessing)
00421.json,null_output
00435.json,null_output
00443.json,sparql_execution_failed (execution)
00454.json,null_output
00455.json,null_output
00456.json,sparql_execution_failed (preprocessing)
00464.json,null_output
00481.json,null_output
00489.json,null_output
00492.json,null_output
00493.json,no_sparql_generated
00495.json,null_output
00499.json,null_output
00504.json,no_sparql_generated
00505.json,no_sparql_generated
00516.json,sparql_execution_failed (execution)
00525.json,null_output
00528.json,sparql_execution_failed (preprocessing)
00540.json,null_output
00550.json,sparql_execution_failed (preprocessing)
00558.json,sparql_execution_failed (preprocessing)
00580.json,no_sparql_generated
00588.json,null_output
