question,gold_answer,KG answer,file_path
Which football club Kaka was playing for when he won the Ballon d'Or,A.C. Milan,AC Milan,CompMix_infobox_complex_00115.json
what is the original tittle of the book  Crime and Punishment book,Преступленіе и наказаніе,|Преступленіе и наказаніе (lang:ru-petr1708),CompMix_infobox_complex_00122.json
what was the name of two vocal artist of Rain on Me,"Lady Gaga,Ariana Grande","Ariana Grande
Lady Gaga",CompMix_infobox_complex_00228.json
In what city was the novel A Tale of Two Cities set,London; Paris,"London
Paris",CompMix_infobox_complex_00270.json
what is the genre of  The Last Thing he told me,"Mystery, Thriller","thriller
mystery fiction",CompMix_infobox_complex_00235.json
Who are the creators of the TV show The Big Bang Theory,Chuck Lorre;Bill Prady,"Chuck Lorre
Bill Prady",CompMix_infobox_complex_00252.json
What is the name of the Tom Tom Club's first studio album,Tom Tom Club,"Tom Tom Club (lang:ast)
Tom Tom Club (lang:de)
Tom Tom Club (lang:en)
Tom Tom Club (lang:es)
Tom Tom Club (lang:fi)
...
Tom Tom Club (lang:hu)
Tom Tom Club (lang:it)
Tom Tom Club (lang:nl)
Tom Tom Club (lang:pt)
おしゃべり魔女 (lang:ja)",CompMix_table_complex_00509.json
"How many times did Lewis Hamilton achieve pole position at the Canadian Grand Prix in the years 2016 or later, based on the available qualifying results",1,2,Sportsreason_TANQ_complex_01499.json
Which national team was the runner up in FIFA World Cup 2018,Croatia national football team,"Croatia men's national football team
France men's national association football team",CompMix_table_complex_00555.json
Who did Italy play against in the 1982 Men's World Cup Final,Germany national football team,"Germany men's national association football team
Italy men's national association football team",CompMix_infobox_complex_00183.json
What club did Andoni Goikoetxea play for in the year 1980,Athletic Bilbao,"Spain national under-21 association football team
Spain national under-18 football team
Spain men's national football team
Spain national amateur football team
Basque Country regional football team
Athletic Bilbao B
Athletic Club
Atlético Madrid",CompMix_table_complex_00571.json
What is the award received in 1990 for Most Promising Actress by Vanessa Paradis,César Award,César Award for Best Actress,CompMix_table_complex_00392.json
What is the total number of episodes in the TV series New Girl,146,146.0,CompMix_infobox_complex_00167.json
What is the country of originate of the gang of four band,United Kingdom,|United Kingdom (lang:en),CompMix_infobox_complex_00232.json
"What award won the National Board of Review Awards in December 2, 2021 for Encanto",Best Animated Film,"Academy Award for Best Animated Feature
Golden Globe Award for Best Animated Feature Film",CompMix_table_complex_00372.json
What is the total number of episodes in the TV series Vikings,89,89.0,CompMix_infobox_complex_00196.json
The science fiction tv series Space: Above and Beyond originally aired on which tv network,Fox,Fox Broadcasting Company,CompMix_infobox_complex_00048.json
Which tv network originally aired the science fiction tv series Space: Above and Beyond,Fox,Fox Broadcasting Company,CompMix_infobox_complex_00073.json
Which Ivy league universities have ever been headed by a woman president,"['Columbia University', 'Cornell University', 'Dartmouth College', 'Harvard University', 'Princeton University', 'Yale University', 'Brown University', 'University of Pennsylvania']","Harvard University
Princeton University
Columbia University
Yale University
Brown University
Cornell University
Dartmouth College
University of Pennsylvania",Monaco_time_complex_00703.json
Which was the first award won by the movie The Matrix,Academy Awards,"Saturn Award for Best Science Fiction Film
Saturn Award for Best Director
Academy Award for Best Film Editing
Academy Award for Best Visual Effects
Academy Award for Best Sound Editing
BAFTA Award for Best Sound
BAFTA Award for Best Special Visual Effects
Academy Award for Best Sound",CompMix_table_complex_00597.json
What medal was won at the Pan American Games by the Pueto rican athlete to win a medal at the first post Cold War Olympics,Bronze,"Olympic gold medal
Olympic silver medal
Olympic bronze medal",OTT_QA_dev_complex_01144.json
What is the name of the director of movie The Matrix Revolutions,The Wachowskis,"Lilly Wachowski
Lana Wachowski",CompMix_infobox_complex_00286.json
What is the genre of the book series The Folk of the Air,Fantasy,romantic fantasy,CompMix_infobox_complex_00120.json
Which football club did Robert Lewandowski play for in the year 2020,FC Bayern Munich,Futbol Club Barcelona,CompMix_table_complex_00517.json
What is the number of episodes of the TV series Money Heist,41,"41.0
48.0",CompMix_table_complex_00515.json
Which is the first book of the novel series Little House on the Prairie,Little House in the Big Woods,Little House in the Big Woods (lang:en)|1932-01-01T00:00:00Z,CompMix_table_complex_00395.json
Which european soccer team did David Beckham start his professional career playing on,Manchester United,"England national under-18 association football team
AC Milan
Manchester United F.C.
Preston North End F.C.
England national under-21 association football team
LA Galaxy
England men's national association football team
Paris Saint-Germain FC
Real Madrid Club de Fútbol",CompMix_infobox_complex_00151.json
What is the place of birth of the soccer player Sadio Mané,"Bambali, Sédhiou, Senegal",Bambali,CompMix_infobox_complex_00284.json
"What was the genre of the song I am not a woman, I'm a god","Rock,Pop",synth-pop,CompMix_infobox_complex_00055.json
Which art museums can I find around Dublin,"['An Post Museum', 'Áras an Uachtaráin', 'Ashtown Castle', 'Belvedere College Museum', 'Chester Beatty Library', 'Douglas Hyde Gallery', 'Dublin Castle', 'Dublin City Gallery The Hugh Lane', 'Dublin Writers Museum', 'EPIC The Irish Emigration Museum', 'GAA Museum', 'Gallery of Photography', 'Guinness Storehouse', 'Irish Jewish Museum', 'Irish Museum of Modern Art', 'Irish Rock N Roll Museum', 'James Joyce Centre', 'Jeanie Johnston', 'The Little Museum of Dublin', ""Marsh's Library"", 'Museum of Literature Ireland (MoLi)', 'National Gallery of Ireland', 'Natural History Museum', 'National Leprechaun Museum', 'National Library of Ireland', 'National Museum of Ireland – Archaeology', 'National Museum of Ireland – Decorative Arts and History', 'National Photographic Archive', 'National Print Museum of Ireland', 'National Wax Museum', 'Number Twenty Nine - Georgian House Museum', 'Phoenix Park Visitor Centre', 'Project Arts Centre', 'Royal Hibernian Academy', 'Science Gallery', 'Waterways Ireland Visitor Centre']","Gallery of Photography
Sculpture in the Parklands
National Photographic Archive
Irish Museum of Modern Art
National Gallery of Ireland
...
Model Arts and Niland Gallery
National Museum of Ireland, Collins Barracks
Temple Bar Gallery and Studios
Douglas Hyde Gallery
Little Museum of Dublin",Monaco_non_time_complex_00785.json
"What is the capacity of the mosque that is on the list of largest mosques , and that was one of the first mosques built by Muhammad","1,000,000",600000.0,OTT_QA_dev_complex_01001.json
"Which record label released Shakira's second English album, Oral Fixation, Vol. 2",Epic,Epic Records,CompMix_table_complex_00562.json
Which actors won both best supporting actor and best actor Oscar awards,"['Denzel Washington', 'Gene Hackman', 'Jack Lemmon', 'Jack Nicholson', 'Kevin Spacey', 'Robert De Niro']","Gene Hackman
Kevin Spacey
Robert De Niro
Jack Nicholson
Denzel Washington
Sean Penn
Jack Lemmon",Monaco_time_complex_00748.json
Which club did David Beckham transferred from to LA Galaxy in 2007,Real Madrid CF,"England national under-18 association football team
AC Milan
Manchester United F.C.
Preston North End F.C.
England national under-21 association football team
LA Galaxy
England men's national association football team
Paris Saint-Germain FC
Real Madrid Club de Fútbol",CompMix_table_complex_00538.json
How many titles has Chicago Fire FC won in the US Open Cup,4,0,CompMix_table_complex_00473.json
"Who is the sibling of the person who directed the Icelandic submission for the Academy Award for Best International Feature Film , Inter Nos , that works in mathematics",Þorvaldur Gunnlaugsson,Tinna Gunnlaugsdóttir,OTT_QA_dev_complex_00924.json
The new Hawaii Five-0 wrapped up after how many season's on CBS,10,10.0,CompMix_table_complex_00568.json
Stargate SG-1 the science fiction tv series ran for how many seasons,10,10.0,CompMix_infobox_complex_00261.json
What are Poland's main political parties,"['Law and Justice', 'Sovereign Poland', 'Renewal of the Republic of Poland', 'Polish Affairs', ""Kukiz'15"", 'Civic Platform', 'Modern', 'Polish Initiative', 'The Greens', 'Zieloni', 'Yes! For Poland', 'AGROunion', 'New Left', 'Left Together', 'Polish Socialist Party', 'Labour Union', 'Poland 2050', ""Polish People's Party"", 'Centre for Poland', 'Union of European Democrats', 'New Hope', 'National Movement', 'Confederation of the Polish Crown']","Union of Polish Communists ""Proletariat""|Union of Polish Communists ""Proletariat"" (lang:en)
Poland 2050|Poland 2050 (lang:en)
Party of Drivers|Party of Drivers (lang:en)
German Labour Party of Poland|German Labour Party of Poland (lang:en)
Polish Affairs|Polish Affairs (lang:en)
...|...
Federation for the Republic|Federation for the Republic (lang:en)
Right Wing of the Republic|Right Wing of the Republic (lang:en)
Democratic Left Alliance|Democratic Left Alliance (lang:en)
Polish Beer-Lovers' Party|Polish Beer-Lovers' Party (lang:en)
Social Democracy of Poland|Social Democracy of Poland (lang:en)",Monaco_time_complex_00655.json
"In Bueno Aires, the Superclasico refers to the rivalry between which two clubs",Boca Juniors;River Plate,"Boca Juniors|rdfs:label
Club Atlético River Plate|rdfs:label",CompMix_infobox_complex_00163.json
What is the number of seasons in the Two and a Half Men series,12,12.0,CompMix_infobox_complex_00098.json
What was Bob Bradley's previous job before he took the job as the head coach of the United States men's national soccer team,Head coach of Chivas USA,"sporting director
association football coach",CompMix_table_complex_00300.json
What have been the Metacritic and Rotten Tomatoes scores for each Thor movie that came out,"[['Thor', '57 out of 100', '6.7/10'], ['Thor: The Dark World', '54 out of 100', '6.2/10'], ['Thor: Ragnarok', '74 out of 100', '7.6/10'], ['Thor: Love and Thunder', '57 out of 100', '6.4/10']]","Thor: The Dark World|54/100|m/thor_the_dark_world
Thor: The Dark World|6.2/10|m/thor_the_dark_world
Thor: The Dark World|67%|m/thor_the_dark_world
Thor: The Dark World|6.7/10|m/thor_the_dark_world
Thor|57/100|m/thor
...|...|...
Thor: Ragnarok|3.7/5|m/thor_ragnarok_2017
Thor: Ragnarok|74/100|m/thor_ragnarok_2017
Thor: Ragnarok|7.6/10|m/thor_ragnarok_2017
Thor: Ragnarok|7.9/10|m/thor_ragnarok_2017
Thor: Ragnarok|93%|m/thor_ragnarok_2017",Monaco_non_time_complex_00889.json
How many International matches played for Portugal national football team by João Félix,20,0,CompMix_table_complex_00469.json
"Who were the rulers of England when it was a republic, what was their title","[['Richard Cromwell', 'Lord Protector of the Commonwealth of England, Scotland and Ireland'], ['Oliver Cromwell', 'Lord Protector of the Commonwealth of England, Scotland and Ireland']]","Member of the 1642-48 Parliament
Member of the 1648-53 Parliament
Member of Parliament in the Parliament of England
Lord Protector
Member of the 1628-29 Parliament
Member of the April 1640 Parliament
Member of the 1640-42 Parliament
Chancellor of the University of Oxford
Member of the 1653 Parliament",Monaco_non_time_complex_00891.json
what percentage of DR Congo's economy is service related compared to its neighbors,"[['33.1%'], [['Republic of the Congo', '25.3%'], ['Central African Republic', '40.8%'], ['South Sudan', '33.1%'], ['Uganda', '23.7% (2017 est.)'], ['Rwanda', '51.5%'], ['Burundi', '21.3%'], ['Tanzania', '47.6%'], ['Zambia', '60%'], ['Angola', '28.4%']]]","Cameroon
Uganda
Rwanda
Sudan
Angola
...
Central African Republic
Zambia
South Sudan
Burundi
Republic of the Congo",Monaco_time_complex_00684.json
The Wisconsin player who received a All-Big Ten honor in the 1951 Big Ten Conference football season was head coach of what team between 1967 and 1969,Wisconsin Badgers,"Katerina Dimitrowa|Penn State Nittany Lions women's tennis
Bob Boyd|Maryland Terrapins men's golf
Randy Hoffman|Maryland Terrapins men's golf
Buddy Marucci|Maryland Terrapins men's golf
Blaine Peffley|Maryland Terrapins men's golf
...|...
Alba Martín Mesa|Wisconsin Badgers women's basketball
Nancy Fahey|Wisconsin Badgers women's basketball
Jolene Anderson|Wisconsin Badgers women's basketball
Tamara Moore|Wisconsin Badgers women's basketball
Ann Klapperich|Wisconsin Badgers women's basketball",OTT_QA_dev_complex_01021.json
"Among the 2008, 2015, 2017, 2018, and 2019 Formula One seasons, sort the number of races in the seasons Lewis Hamilton won from highest to lowest. What is the third number",20,"2015 Formula One World Championship|19.0
2017 Formula One World Championship|20.0
2018 Formula One World Championship|21.0
2019 Formula One World Championship|21.0
2008 Formula One World Championship|18.0",Sportsreason_TANQ_complex_01436.json
Sort the Formula One seasons where Lewis Hamilton was the Drivers' Champion by the number of races from highest to lowest. What is the third number of races in this sorted list,20,"2021 Formula One World Championship|22.0
2019 Formula One World Championship|21.0
2017 Formula One World Championship|20.0
2015 Formula One World Championship|19.0
2014 Formula One World Championship|19.0
2008 Formula One World Championship|18.0
2020 Formula One World Championship|17.0",Sportsreason_TANQ_complex_01422.json
Who was the manager of the soccer Manchester United F.C. in 2017,José Mourinho,Michael Carrick,CompMix_table_complex_00518.json
What are the Ivy League colleges in the order in which they were founded from oldest to newest,"['Harvard University', 'Yale University.', 'University of Pennsylvania', 'Princeton University', 'Columbia University', 'Brown University', 'Dartmouth College', 'Cornell University']","Harvard University|1636-09-08T00:00:00Z
Yale University|1701-01-01T00:00:00Z
University of Pennsylvania|1740-11-14T00:00:00Z
Princeton University|1746-01-01T00:00:00Z
Columbia University|1754-05-25T00:00:00Z
Brown University|1765-01-01T00:00:00Z
Dartmouth College|1769-12-13T00:00:00Z
Cornell University|1865-01-01T00:00:00Z",Monaco_non_time_complex_00892.json
Bethlehem Steel's won how many titles in the Lamar Hunt U.S. Open Cup,5,0,CompMix_table_complex_00475.json
