file_name,invalid_label
01300.json,sparql_execution_failed (preprocessing)
01301.json,empty_sparql_result
01302.json,no_sparql_generated
01303.json,null_output
01304.json,no_sparql_generated
01305.json,null_output
01306.json,null_output
01307.json,null_output
01308.json,sparql_execution_failed (execution)
01309.json,null_output
01310.json,null_output
01311.json,null_output
01312.json,empty_sparql_result
01313.json,sparql_execution_failed (preprocessing)
01314.json,null_output
01315.json,empty_sparql_result
01317.json,null_output
01318.json,null_output
01319.json,null_output
01320.json,empty_sparql_result
01321.json,null_output
01322.json,null_output
01324.json,null_output
01326.json,empty_sparql_result
01327.json,null_output
01328.json,null_output
01329.json,empty_sparql_result
01330.json,null_output
01332.json,null_output
01333.json,null_output
01334.json,null_output
01335.json,null_output
01336.json,null_output
01337.json,null_output
01338.json,null_output
01339.json,empty_sparql_result
01340.json,no_sparql_generated
01341.json,empty_sparql_result
01342.json,sparql_execution_failed (preprocessing)
01344.json,no_sparql_generated
01345.json,null_output
01346.json,null_output
01347.json,null_output
01348.json,null_output
01349.json,no_sparql_generated
01350.json,empty_sparql_result
01351.json,null_output
01352.json,empty_sparql_result
01353.json,empty_sparql_result
01354.json,null_output
01355.json,null_output
01356.json,null_output
01357.json,null_output
01358.json,null_output
01359.json,null_output
01360.json,sparql_execution_failed (preprocessing)
01361.json,empty_sparql_result
01362.json,no_sparql_generated
01363.json,null_output
01364.json,sparql_execution_failed (execution)
01365.json,empty_sparql_result
01366.json,no_sparql_generated
01367.json,no_sparql_generated
01368.json,null_output
01369.json,sparql_execution_failed (preprocessing)
01370.json,empty_sparql_result
01371.json,null_output
01372.json,sparql_execution_failed (preprocessing)
01373.json,null_output
01374.json,null_output
01375.json,sparql_execution_failed (execution)
01376.json,sparql_execution_failed (execution)
01377.json,null_output
01378.json,no_sparql_generated
01379.json,empty_sparql_result
01380.json,null_output
01382.json,no_sparql_generated
01383.json,null_output
01384.json,null_output
01385.json,empty_sparql_result
01386.json,null_output
01387.json,sparql_execution_failed (preprocessing)
01388.json,empty_sparql_result
01390.json,null_output
01391.json,null_output
01393.json,null_output
01394.json,null_output
01395.json,null_output
01396.json,null_output
01397.json,null_output
01398.json,sparql_execution_failed (preprocessing)
01399.json,empty_sparql_result
01400.json,no_sparql_generated
01402.json,no_sparql_generated
01403.json,null_output
01404.json,null_output
01405.json,null_output
01406.json,null_output
01408.json,null_output
01409.json,sparql_execution_failed (execution)
01410.json,empty_sparql_result
01411.json,null_output
01412.json,null_output
01413.json,null_output
01414.json,null_output
01415.json,null_output
01416.json,null_output
01417.json,null_output
01418.json,null_output
01420.json,null_output
01421.json,sparql_execution_failed (preprocessing)
01423.json,empty_sparql_result
01424.json,empty_sparql_result
01425.json,null_output
01426.json,null_output
01427.json,null_output
01428.json,empty_sparql_result
01429.json,null_output
01430.json,null_output
01431.json,null_output
01432.json,no_sparql_generated
01433.json,null_output
01434.json,null_output
01435.json,empty_sparql_result
01437.json,empty_sparql_result
01438.json,empty_sparql_result
01442.json,null_output
01443.json,empty_sparql_result
01444.json,null_output
01445.json,no_sparql_generated
01446.json,sparql_execution_failed (preprocessing)
01447.json,null_output
01448.json,null_output
01449.json,null_output
01450.json,null_output
01452.json,sparql_execution_failed (preprocessing)
01453.json,null_output
01454.json,empty_sparql_result
01455.json,empty_sparql_result
01456.json,sparql_execution_failed (preprocessing)
01457.json,null_output
01458.json,empty_sparql_result
01459.json,sparql_execution_failed (preprocessing)
01462.json,null_output
01463.json,sparql_execution_failed (preprocessing)
01465.json,empty_sparql_result
01466.json,empty_sparql_result
01467.json,null_output
01468.json,null_output
01469.json,null_output
01470.json,null_output
01471.json,null_output
01472.json,sparql_execution_failed (preprocessing)
01473.json,null_output
01474.json,sparql_execution_failed (execution)
01475.json,null_output
01476.json,empty_sparql_result
01477.json,null_output
01478.json,null_output
01479.json,null_output
01480.json,no_sparql_generated
01481.json,null_output
01482.json,null_output
01483.json,sparql_execution_failed (preprocessing)
01484.json,null_output
01485.json,null_output
01486.json,empty_sparql_result
01487.json,no_sparql_generated
01490.json,null_output
01491.json,empty_sparql_result
01492.json,empty_sparql_result
01495.json,no_sparql_generated
01496.json,sparql_execution_failed (execution)
01497.json,empty_sparql_result
01498.json,null_output
